...1,Stream,Month,Site Type,Tag,Species,Mesohabitat,Stream Width,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Creation Date,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y,ObjectID
18,Beaver,April,Occupied,147,Desert Sucker,Pool,9.09,54.864,0.12,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.672489,111.666974,Visually confirmed,4/24/2022 21:07,NA,88,198,Backpack Shocker,11/16/2022,NA,riffle,NA
19,Beaver,April,Occupied,148,Desert Sucker,Pool,12.8,73.152,0.04,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.672611,111.667891,"With 5 others, not utilizing cover",4/24/2022 19:23,NA,77,183,Backpack Shocker,11/16/2022,NA,pool,NA
25,Beaver,April,Available,NA,NA,Pool,9.6,27.432,0.01,Boulder,0.4,0,0,0,0,0,0.4,No,34.674054,111.671913,NA,4/23/2022 22:53,NA,NA,NA,NA,NA,NA,NA,NA
26,Beaver,April,Available,NA,NA,Pool,9.6,57.912,0.07,Cobble,0.1,0,0,0,0,0,0.1,No,34.674001,111.671867,NA,4/23/2022 22:56,NA,NA,NA,NA,NA,NA,NA,NA
27,Beaver,April,Available,NA,NA,Pool,9.5,51.816,0.06,Cobble,0,0,0,0,0,0,0,Yes,34.663977,111.671779,NA,4/23/2022 23:02,NA,NA,NA,NA,NA,NA,NA,NA
40,Beaver,April,Available,NA,NA,Pool,14.5,24.384,0.06,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.674057,111.670885,NA,4/24/2022 0:08,NA,NA,NA,NA,NA,NA,NA,NA
41,Beaver,April,Available,NA,NA,Pool,13.7,85.344,0.01,Pebble,0.2,0,0,0,0,0,0.2,Yes,34.674014,111.670806,NA,4/24/2022 0:12,NA,NA,NA,NA,NA,NA,NA,NA
42,Beaver,April,Available,NA,NA,Pool,14.2,118.872,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.674129,111.670669,NA,4/24/2022 0:14,changed all depth to cm,NA,NA,NA,NA,NA,NA,NA
43,Beaver,April,Available,NA,NA,Pool,15.68,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674086,111.670635,NA,4/24/2022 0:19,NA,NA,NA,NA,NA,NA,NA,NA
44,Beaver,April,Available,NA,NA,Pool,16.5,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674033,111.67057,NA,4/24/2022 0:21,NA,NA,NA,NA,NA,NA,NA,NA
45,Beaver,April,Available,NA,NA,Pool,16.5,>150,NA,NA,0,0,0,0,0,0,0,No,34.673965,111.670456,NA,4/24/2022 0:23,NA,NA,NA,NA,NA,NA,NA,NA
46,Beaver,April,Available,NA,NA,Pool,11.9,>150,Na,NA,0,0,0,0,0,0,0,No,34.673947,111.670314,NA,4/24/2022 0:25,NA,NA,NA,NA,NA,NA,NA,NA
47,Beaver,April,Available,NA,NA,Pool,8.92,41.148,0.07,Bedrock,0,0,0,0,0,0,0,Yes,34.673959,111.670253,NA,4/24/2022 0:26,NA,NA,NA,NA,NA,NA,NA,NA
48,Beaver,April,Available,NA,NA,Pool,6.76,19.812,0,Bedrock,0,0,0,0,0,0,0,Yes,34.67386,111.670217,NA,4/24/2022 0:29,NA,NA,NA,NA,NA,NA,NA,NA
49,Beaver,April,Available,NA,NA,Pool,7.4,>150,Na,Sand,0.2,0,0,0.05,0,0,0.25,No,34.674752,111.672528,NA,4/23/2022 22:02,NA,NA,NA,NA,NA,NA,NA,NA
50,Beaver,April,Available,NA,NA,Pool,7.6,42.672,0,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.674758,111.672353,NA,4/23/2022 22:09,NA,NA,NA,NA,NA,NA,NA,NA
57,Beaver,April,Available,NA,NA,Pool,9.5,51.816,0.01,Cobble,0.2,0,0,0,0,0,0.2,No,34.674519,111.67233,NA,4/23/2022 22:29,NA,NA,NA,NA,NA,NA,NA,NA
58,Beaver,April,Available,NA,NA,Pool,13.69,102.108,0,Cobble,0,0,0,0,0,0,0,Yes,34.674427,111.672332,NA,4/23/2022 22:32,NA,NA,NA,NA,NA,NA,NA,NA
59,Beaver,April,Available,NA,NA,Pool,17.8,108.204,0.01,Silt,0,0,0,0,0,0,0,Yes,34.674366,111.67229,Silt substrate,4/23/2022 22:35,NA,NA,NA,NA,NA,NA,NA,NA
60,Beaver,April,Available,NA,NA,Pool,17.5,>150,NA,Sand,0,0,0,0,0,0,0,Yes,34.674348,111.672225,NA,4/23/2022 22:38,NA,NA,NA,NA,NA,NA,NA,NA
61,Beaver,April,Available,NA,NA,Pool,16.95,>150,Na,NA,0,0,0,0,0,0,0,No,34.674364,111.672155,NA,4/23/2022 22:41,NA,NA,NA,NA,NA,NA,NA,NA
62,Beaver,April,Available,NA,NA,Pool,17.43,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674199,111.672174,NA,4/23/2022 22:43,NA,NA,NA,NA,NA,NA,NA,NA
63,Beaver,April,Available,NA,NA,Pool,14.72,36.576,0,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.67414,111.672114,NA,4/23/2022 22:46,NA,NA,NA,NA,NA,NA,NA,NA
64,Beaver,April,Available,NA,NA,Pool,11.24,73.152,0.02,Pebble,0.2,0,0,0,0,0,0.2,Yes,34.67405,111.672094,NA,4/23/2022 22:49,NA,NA,NA,NA,NA,NA,NA,NA
66,Beaver,April,Available,NA,NA,Pool,11.2,103.632,0,Boulder,0.4,0,0,0,0,0,0.4,No,34.67339,111.669167,NA,4/24/2022 18:02,NA,NA,NA,NA,NA,NA,NA,NA
68,Beaver,April,Available,NA,NA,Pool,11.3,62.484,0.03,Boulder,0.5,0,0,0,0,0,0.5,No,34.673317,111.66906,NA,4/24/2022 18:11,NA,NA,NA,NA,NA,NA,NA,NA
69,Beaver,April,Available,NA,NA,Pool,7.93,51.816,0,Cobble,0.3,0,0,0,0,0,0.3,No,34.673334,111.668988,NA,4/24/2022 18:13,NA,NA,NA,NA,NA,NA,NA,NA
77,Beaver,April,Available,NA,NA,Pool,11.11,24.384,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,34.673046,111.668543,NA,4/24/2022 18:41,NA,NA,NA,NA,NA,NA,NA,NA
78,Beaver,April,Available,NA,NA,Pool,10.11,21.336,0.01,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.673004,111.668519,NA,4/24/2022 18:45,NA,NA,NA,NA,NA,NA,NA,NA
79,Beaver,April,Available,NA,NA,Pool,9.57,60.96,0.04,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.673014,111.668456,NA,4/24/2022 18:46,NA,NA,NA,NA,NA,NA,NA,NA
80,Beaver,April,Available,NA,NA,Pool,11.9,88.392,0.01,Boulder,0.3,0,0,0.25,0,0,0.55,Yes,34.672972,111.66842,NA,4/24/2022 18:52,NA,NA,NA,NA,NA,NA,NA,NA
81,Beaver,April,Available,NA,NA,Pool,11.82,109.728,0,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.672927,111.668349,NA,4/24/2022 18:59,NA,NA,NA,NA,NA,NA,NA,NA
82,Beaver,April,Available,NA,NA,Pool,11.34,42.672,0,Boulder,0.7,0,0,0,0,0,0.7,Yes,34.672888,111.668238,NA,4/24/2022 19:05,NA,NA,NA,NA,NA,NA,NA,NA
83,Beaver,April,Available,NA,NA,Pool,7.59,59.436,0.02,Boulder,0.7,0,0,0,0,0,0.7,Yes,34.672845,111.668217,NA,4/24/2022 19:08,NA,NA,NA,NA,NA,NA,NA,NA
84,Beaver,April,Available,NA,NA,Pool,6.71,54.864,0,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.672811,111.668157,NA,4/24/2022 19:10,NA,NA,NA,NA,NA,NA,NA,NA
88,Beaver,April,Available,NA,NA,Pool,7.13,27.432,0.07,Pebble,0.2,0,0,0,0,0,0.2,Yes,34.672663,111.667965,NA,4/24/2022 19:19,NA,NA,NA,NA,NA,NA,NA,NA
89,Beaver,April,Available,NA,NA,Pool,5.91,12.192,0.01,Bedrock,0,0,0,0,0,0,0,No,34.673864,111.67012,NA,4/24/2022 0:31,NA,NA,NA,NA,NA,NA,NA,NA
90,Beaver,April,Available,NA,NA,Pool,6.18,70.104,0.03,Bedrock,0,0,0,0,0,0,0,NA,34.673867,111.670069,NA,4/24/2022 0:33,NA,NA,NA,NA,NA,NA,NA,NA
101,Beaver,April,Available,NA,NA,Pool,12.05,38.1,0.04,Gravel,0.2,0,0,0,0,0,0.2,Yes,34.673611,111.669374,NA,4/24/2022 0:58,Couldn't find a correlating/missing tag- checked field telem notes,NA,NA,NA,NA,NA,NA,NA
102,Beaver,April,Available,NA,NA,Pool,11.19,68.58,0.04,Pebble,0,0,0,0,0,0,0,Yes,34.673595,111.6699401,"all depths frpm 4/23-4/22 in foot 10ths (boo, ft/10 are dumb). also Carniverous cows is a good band name",4/24/2022 17:36,NA,NA,NA,NA,NA,NA,NA,NA
103,Beaver,April,Available,NA,NA,Pool,10.46,96.012,0,Pebble,0,0,0,0,0,0,0,Yes,34.673571,111.669338,NA,4/24/2022 17:49,NA,NA,NA,NA,NA,NA,NA,NA
104,Beaver,April,Available,NA,NA,Pool,9.52,85.344,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.673532,111.669317,NA,4/24/2022 17:57,NA,NA,NA,NA,NA,NA,NA,NA
105,Beaver,April,Available,NA,NA,Pool,9.22,62.484,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.672463,111.667043,NA,4/24/2022 21:06,NA,NA,NA,NA,NA,NA,NA,NA
106,Beaver,April,Available,NA,NA,Pool,7.39,27.432,0,Pebble,0,0,0,0,0,0,0,Yes,34.672594,111.666942,NA,4/24/2022 21:10,NA,NA,NA,NA,NA,NA,NA,NA
117,Beaver,April,Available,NA,NA,Pool,6.19,32.004,0.04,Sand,0.2,0,0,0,0,0,0.2,Yes,34.672936,111.666349,NA,4/24/2022 21:35,NA,NA,NA,NA,NA,NA,NA,NA
118,Beaver,April,Available,NA,NA,Pool,6.81,36.576,0.01,Cobble,0,0,0,0.15,0,0,0.15,Yes,34.672973,111.666312,NA,4/24/2022 21:36,NA,NA,NA,NA,NA,NA,NA,NA
119,Beaver,April,Available,NA,NA,Pool,6.97,76.2,0.01,Sand,0,0,0,0,0,0,0,Yes,34.67301,111.66628,NA,4/24/2022 21:38,NA,NA,NA,NA,NA,NA,NA,NA
120,Beaver,April,Available,NA,NA,Pool,7.32,103.632,0,Sand,0,0,0,0,0,0,0,No,34.673047,111.666201,NA,4/24/2022 21:43,NA,NA,NA,NA,NA,NA,NA,NA
121,Beaver,April,Available,NA,NA,Pool,16.75,76.2,0.07,Pebble,0,0,0,0,0,0,0,Yes,34.673108,111.666157,NA,4/24/2022 21:48,NA,NA,NA,NA,NA,NA,NA,NA
122,Beaver,April,Available,NA,NA,Pool,8.12,74.676,0.04,Boulder,0,0,0,0,0,0,0,No,34.673147,111.666117,20 + desert suckers !Woo,4/24/2022 21:51,NA,NA,NA,NA,NA,NA,NA,NA
123,Beaver,April,Available,NA,NA,Pool,11.89,70.104,0.04,Pebble,0,0,0,0,0,0,0,Yes,34.672943,111.666577,NA,4/24/2022 22:08,NA,NA,NA,NA,NA,NA,NA,NA
124,Beaver,April,Available,NA,NA,Pool,9.27,42.672,0,Bedrock,0,0,0,0,0,0,0,Yes,34.673004,111.666515,NA,4/24/2022 22:12,NA,NA,NA,NA,NA,NA,NA,NA
125,Beaver,April,Available,NA,NA,Pool,7.06,59.436,0.02,Cobble,0.2,0,0,0,0,0,0.2,No,34.672991,111.66647,NA,4/24/2022 22:17,NA,NA,NA,NA,NA,NA,NA,NA
126,Beaver,April,Available,NA,NA,Pool,6.49,36.576,0,Cobble,0.15,0,0,0,0,0,0.15,No,34.672998,111.666421,NA,4/24/2022 22:18,NA,NA,NA,NA,NA,NA,NA,NA
127,Beaver,April,Available,NA,NA,Pool,8.45,33.528,0.15,Cobble,0.1,0,0,0,0,0,0.1,NA,34.673034,111.666346,NA,4/24/2022 22:22,NA,NA,NA,NA,NA,NA,NA,NA
128,Beaver,April,Available,NA,NA,Pool,5.96,57.912,0.08,Cobble,0.1,0,0,0,0,0,0.1,No,34.673089,111.666318,NA,4/24/2022 22:24,NA,NA,NA,NA,NA,NA,NA,NA
129,Beaver,April,Available,NA,NA,Pool,12.66,97.536,0,Pebble,0,0,0,0,0,0,0,Yes,34.67261,111.66789,NA,4/24/2022 19:21,NA,NA,NA,NA,NA,NA,NA,NA
130,Beaver,April,Available,NA,NA,Pool,12.08,80.772,0,Sand,0,0,0,0,0,0,0,Yes,34.672587,111.667828,Silt substrate,4/24/2022 19:24,NA,NA,NA,NA,NA,NA,NA,NA
131,Beaver,April,Available,NA,NA,Pool,10.11,>150,Na,NA,0,0,0,0,0,0,0,No,34.672552,111.667763,NA,4/24/2022 19:29,NA,NA,NA,NA,NA,NA,NA,NA
132,Beaver,April,Available,NA,NA,Pool,13.41,>150,Na,NA,0,0,0,0,0,0,0,No,34.672541,111.667785,NA,4/24/2022 19:33,confirmed with photo,NA,NA,NA,NA,NA,NA,NA
133,Beaver,April,Available,NA,NA,Pool,12.93,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.672505,111.667677,NA,4/24/2022 19:34,NA,NA,NA,NA,NA,NA,NA,NA
134,Beaver,April,Available,NA,NA,Pool,7.15,50.292,0.08,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.672486,111.667676,NA,4/24/2022 19:39,NA,NA,NA,NA,NA,NA,NA,NA
135,Beaver,April,Available,NA,NA,Pool,7.54,85.344,0,Boulder,0.5,0.1,0,0,0,0,0.6,No,34.672472,111.667582,NA,4/24/2022 20:41,NA,NA,NA,NA,NA,NA,NA,NA
142,Beaver,April,Available,NA,NA,Pool,8.89,13.716,0.04,Pebble,0.05,0,0,0,0,0,0.05,Yes,34.672345,111.667036,NA,4/24/2022 20:57,NA,NA,NA,NA,NA,NA,NA,NA
143,Beaver,April,Available,NA,NA,Pool,10.31,33.528,0.01,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.672477,111.667079,NA,4/24/2022 21:00,NA,NA,NA,NA,NA,NA,NA,NA
144,Beaver,April,Available,NA,NA,Pool,10.2,42.672,0.07,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.672474,111.667056,NA,4/24/2022 21:03,NA,NA,NA,NA,NA,NA,NA,NA
145,Beaver,April,Available,NA,NA,Pool,7.65,21.336,0,Cobble,0,0,0,0,0,0,0,NA,34.67317,111.666182,NA,4/24/2022 22:29,NA,NA,NA,NA,NA,NA,NA,NA
146,Beaver,April,Available,NA,NA,Pool,7.22,33.528,0.05,Bedrock,0,0,0,0,0,0,0,No,34.673201,111.666139,NA,4/24/2022 22:31,NA,NA,NA,NA,NA,NA,NA,NA
147,Beaver,April,Available,NA,NA,Pool,6.7,56.388,0.15,Cobble,0.3,0,0,0,0,0,0.3,NA,34.673116,111.336293,NA,4/24/2022 22:26,NA,NA,NA,NA,NA,NA,NA,NA
148,Beaver,April,Available,NA,NA,Pool,6.65,56.388,0.06,Boulder,0.05,0,0,0,0,0,0.05,No,34.67314,111.666258,NA,4/24/2022 22:27,Confirmed with photo,NA,NA,NA,NA,NA,NA,NA
2,Beaver,April,Occupied,112,Black Bass,Riffle,9.5,25.908,0.06,Boulder,0.3,0,0,0,0,0,0.3,No,34.674024,111.671498,NA,4/23/2022 23:17,Replaced all Pool_ with Pool,90,192,Backpack Shocker,11/3/2022,NA,NA,NA
15,Beaver,April,Occupied,141,Desert Sucker,Riffle,NA,45.72,0.08,Boulder,0.8,0,0,0,0,0,0.8,Yes,34.672641,111.666807,Visual confirmation,4/24/2022 21:15,NA,76,180,Backpack Shocker,11/16/2022,NA,Pool,NA
16,Beaver,April,Occupied,143,Desert Sucker,Riffle,10.14,21.336,0.13,Boulder,0.7,0.1,0,0,0,0,0.8,Yes,34.673938,111.67109,NA,4/23/2022 23:36,NA,76,189,Hoop Net,11/27/2022,Top of Reach,NA,NA
29,Beaver,April,Available,NA,NA,Riffle,8.6,9.144,0.31,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.67397,111.671671,NA,4/23/2022 23:08,NA,NA,NA,NA,NA,NA,NA,NA
31,Beaver,April,Available,NA,NA,Riffle,6,27.432,0.36,Boulder,0.4,0,0,0,0,0,0.4,No,34.674,111.671533,NA,4/23/2022 23:13,NA,NA,NA,NA,NA,NA,NA,NA
32,Beaver,April,Available,NA,NA,Riffle,9.5,48.768,0.08,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.673997,111.671472,NA,4/23/2022 23:21,NA,NA,NA,NA,NA,NA,NA,NA
33,Beaver,April,Available,NA,NA,Riffle,6.96,24.384,0,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.673996,111.671387,NA,4/23/2022 23:23,NA,NA,NA,NA,NA,NA,NA,NA
34,Beaver,April,Available,NA,NA,Riffle,7.09,35.052,0.09,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673984,111.67134,NA,4/23/2022 23:30,NA,NA,NA,NA,NA,NA,NA,NA
35,Beaver,April,Available,NA,NA,Riffle,9,15.24,0.04,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.674,111.671244,NA,4/23/2022 23:32,NA,NA,NA,NA,NA,NA,NA,NA
36,Beaver,April,Available,NA,NA,Riffle,12.4,21.336,0.04,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.673966,111.671175,NA,4/23/2022 23:34,NA,NA,NA,NA,NA,NA,NA,NA
37,Beaver,April,Available,NA,NA,Riffle,18,12.192,0,Cobble,0.4,0,0,0,0,0,0.4,Yes,34.673942,111.671073,NA,4/23/2022 23:40,NA,NA,NA,NA,NA,NA,NA,NA
38,Beaver,April,Available,NA,NA,Riffle,13.6,13.716,0.07,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673929,111.670996,NA,4/23/2022 23:42,NA,NA,NA,NA,NA,NA,NA,NA
39,Beaver,April,Available,NA,NA,Riffle,12.22,24.384,0.02,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.674046,111.670914,NA,4/23/2022 23:46,NA,NA,NA,NA,NA,NA,NA,NA
51,Beaver,April,Available,NA,NA,Riffle,5.7,44.196,0.07,Boulder,0.4,0.1,0,0,0,0,0.5,Yes,34.674747,111.672303,NA,4/23/2022 22:13,NA,NA,NA,NA,NA,NA,NA,NA
52,Beaver,April,Available,NA,NA,Riffle,5.1,32.004,0.33,Boulder,0.3,0.1,0,0,0,0,0.4,Yes,34.674706,111.672286,NA,4/23/2022 22:17,NA,NA,NA,NA,NA,NA,NA,NA
53,Beaver,April,Available,NA,NA,Riffle,5.17,30.48,0.04,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.67468,111.672279,NA,4/23/2022 22:20,NA,NA,NA,NA,NA,NA,NA,NA
54,Beaver,April,Available,NA,NA,Riffle,2,24.384,0.6,Boulder,0.5,0.1,0,0,0,0,0.6,Yes,34.674633,111.672311,NA,4/23/2022 22:21,NA,NA,NA,NA,NA,NA,NA,NA
55,Beaver,April,Available,NA,NA,Riffle,5,15.24,0.12,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.674586,111.672283,NA,4/23/2022 22:26,NA,NA,NA,NA,NA,NA,NA,NA
56,Beaver,April,Available,NA,NA,Riffle,8,15.24,0.29,Sand,0.3,0,0,0,0,0,0.3,Yes,34.674547,111.672257,NA,4/23/2022 22:28,NA,NA,NA,NA,NA,NA,NA,NA
67,Beaver,April,Available,NA,NA,Riffle,11.3,24.384,0.16,Boulder,0.65,0,0,0,0,0,0.65,No,34.67338,111.669115,NA,4/24/2022 18:09,NA,NA,NA,NA,NA,NA,NA,NA
70,Beaver,April,Available,NA,NA,Riffle,7.13,39.624,0.09,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.673248,111.66897,NA,4/24/2022 18:18,NA,NA,NA,NA,NA,NA,NA,NA
71,Beaver,April,Available,NA,NA,Riffle,7.1,33.528,0.06,Cobble,0.2,0,0,0,0,0,0.2,No,34.673214,111.668888,NA,4/24/2022 18:20,NA,NA,NA,NA,NA,NA,NA,NA
72,Beaver,April,Available,NA,NA,Riffle,7.2,21.336,0.14,Boulder,0.5,0,0,0,0,0,0.5,No,34.673173,111.668843,NA,4/24/2022 18:22,NA,NA,NA,NA,NA,NA,NA,NA
73,Beaver,April,Available,NA,NA,Riffle,11.4,33.528,0.09,Boulder,0.7,0,0,0,0,0,0.7,No,34.673142,111.668787,NA,4/24/2022 18:24,NA,NA,NA,NA,NA,NA,NA,NA
74,Beaver,April,Available,NA,NA,Riffle,11.83,28.956,0.09,Cobble,0.1,0,0,0,0,0,0.1,No,34.673092,111.668702,NA,4/24/2022 18:27,NA,NA,NA,NA,NA,NA,NA,NA
75,Beaver,April,Available,NA,NA,Riffle,7.08,16.764,0.31,Cobble,0.3,0,0,0,0,0,0.3,No,34.673069,111.668621,NA,4/24/2022 18:31,NA,NA,NA,NA,NA,NA,NA,NA
76,Beaver,April,Available,NA,NA,Riffle,11.11,18.288,0.14,Boulder,0.3,0,0,0,0,0,0.3,No,34.673068,111.668597,15+ DS spotted swimming through cobble/boulder area. Bass intermingling as well (same size). Its a party!,4/24/2022 18:36,NA,NA,NA,NA,NA,NA,NA,NA
85,Beaver,April,Available,NA,NA,Riffle,5.39,6.096,0.18,Boulder,0.5,0.1,0,0,0,0,0.6,Yes,34.672781,111.668117,NA,4/24/2022 19:12,NA,NA,NA,NA,NA,NA,NA,NA
86,Beaver,April,Available,NA,NA,Riffle,7.06,28.956,0.35,Boulder,0.3,0.2,0,0,0,0,0.5,Yes,34.672737,111.668071,NA,4/24/2022 19:14,NA,NA,NA,NA,NA,NA,NA,NA
87,Beaver,April,Available,NA,NA,Riffle,8.97,19.812,0.23,Cobble,0.2,0.2,0,0,0,0,0.4,Yes,34.672712,111.668017,NA,4/24/2022 19:16,NA,NA,NA,NA,NA,NA,NA,NA
91,Beaver,April,Available,NA,NA,Riffle,5.19,70.104,0.32,Bedrock,0.4,0,0,0,0,0,0.4,No,34.673841,111.670029,NA,4/24/2022 0:35,NA,NA,NA,NA,NA,NA,NA,NA
92,Beaver,April,Available,NA,NA,Riffle,5.6,15.24,0.25,Bedrock,0,0,0,0,0,0,0,Yes,34.673881,111.669948,NA,4/24/2022 0:37,NA,NA,NA,NA,NA,NA,NA,NA
93,Beaver,April,Available,NA,NA,Riffle,5.3,18.288,0.17,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.673866,111.669898,NA,4/24/2022 0:39,NA,NA,NA,NA,NA,NA,NA,NA
