ObjectID,Creation Date,Site Type ,Tag,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Canopy,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,Data Changes
65,12/4/2022 21:15,Available,NA,7.286,Run,,71,0.04,Cobble,0,0,0,0,0,0,0,No,No,34.673358,111.669012,,-111.6689796,34.67333535,
67,12/4/2022 21:18,Available,NA,7.541,Run,,62,0.1,Cobble,0,0,0,0,0,0,0,No,No,34.673286,111.668923,,-111.6689443,34.67328592,
68,12/4/2022 21:20,Available,NA,4.822,Riffle,,20,0.26,Boulder,0.45,0,0,0,0,0,0.45,No,No,34.673248,111.668879,,-111.6688809,34.67326022,
69,12/4/2022 21:21,Available,NA,5.862,Riffle,,21,0.12,Pebble,0,0.1,0,0,0,0,0.1,No,No,34.673201,111.668797,,-111.6687808,34.67320179,
70,12/4/2022 21:23,Available,NA,9.412,Riffle,,35,0,Cobble,0.15,0,0,0,0,0,0.15,No,No,34.673146,111.668739,,-111.6687136,34.67313233,
71,12/4/2022 21:25,Available,NA,5.416,Run,,27,0.13,Boulder,0.35,0,0,0,0,0,0.35,No,No,34.673102,111.668688,,-111.6686518,34.67310319,
72,12/4/2022 21:27,Available,NA,11.971,Run,,34,0.03,Cobble,0.25,0,0,0,0,0,0.25,No,No,34.673047,111.668596,,-111.6685804,34.67303438,
73,12/4/2022 21:29,Available,NA,8.195,Run,,46,0.03,Cobble,0.05,0,0,0,0,0,0.05,No,No,34.673044,111.668492,,-111.6684998,34.67302879,
75,12/4/2022 21:34,Available,NA,8.706,Run,,37,0.01,Sand,0,0,0,0,0,0,0,No,No,34.672978,111.668465,,-111.668476,34.67294387,
76,12/4/2022 21:37,Available,NA,9.235,Run,,82,0.01,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.672957,111.668372,,-111.6684531,34.6728554,"mesohabitat changed from pool to run, verified by photos "
78,12/4/2022 21:41,Available,NA,7.584,Run,,63,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.672869,111.668271,,-111.6683595,34.6728777,
80,12/4/2022 21:48,Available,NA,6.5,Pool,,42,0,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.672809,111.668206,,-111.6683029,34.67287054,
81,12/4/2022 21:53,Available,NA,5.4,Run,,50,0,Boulder,0.1,0,0,0,0,0,0.1,No,Yes,34.672741,111.668221,,-111.6682711,34.67285625,
82,12/4/2022 21:57,Available,NA,4.4,Riffle,,30,0.68,Cobble,0,0,0,0,0,0,0,No,Yes,34.672622,111.668191,,-111.6681891,34.67278123,
85,12/4/2022 22:05,Available,NA,6.3,Riffle,,14,0.12,Pebble,0,0,0,0,0,0,0,No,Yes,34.672658,111.668012,,-111.6680786,34.67264275,
86,12/4/2022 22:08,Available,NA,9.4,Pool,,42,0.02,Cobble,0.05,0,0,0,0,0,0.05,No,No,34.672539,111.667871,,-111.6680567,34.67262639,
88,12/4/2022 22:14,Available,NA,11.3,Pool,,32,0,Pebble,0,0,0,0,0,0,0,No,Yes,34.672492,111.6679,,-111.6679319,34.67248082,
89,12/4/2022 22:16,Available,NA,11.4,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,NA,34.672525,111.667816,,-111.6678803,34.67256487,
90,12/4/2022 22:18,Available,NA,13.3,Pool,,68,0,Sand,0,0,0,0,0,0,0,No,Yes,34.672517,111.667694,,-111.6676965,34.6725761,
91,12/4/2022 22:21,Available,NA,8.5,Run,,96,0,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.672522,111.667686,,-111.6677042,34.67252607,
92,12/4/2022 22:23,Available,NA,6,Riffle,,14,0,Boulder,0,0,0,0,0,0,0,No,Yes,34.67229,111.667634,,-111.6677153,34.67240342,
94,12/4/2022 22:31,Available,NA,3.8,Run,,50,0.27,Bedrock,0,0,0,0,0,0,0,No,No,34.672418,111.667489,,-111.6674796,34.67234595,
95,12/4/2022 22:33,Available,NA,3.5,Riffle,,27,0.45,Bedrock,0.2,0,0,0,0,0,0.2,No,No,34.672256,111.667297,,-111.6673788,34.6723767,
96,12/4/2022 22:34,Available,NA,16.8,Riffle,,7,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.672444,111.667241,,-111.667384,34.67235172,
97,12/4/2022 22:37,Available,NA,10.7,Riffle,,22,0.01,Cobble,0.6,0,0,0,0,0,0.6,No,Yes,34.672514,111.667134,,-111.6672833,34.67238635,
98,12/4/2022 22:39,Available,NA,9.8,Pool,,45,0.02,Boulder,0.1,0,0,0,0,0,0.1,No,Yes,34.672512,111.667123,,-111.6672347,34.67240161,
99,12/4/2022 22:42,Available,NA,9.7,Pool,,50,0.03,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.672526,111.667052,,-111.6671403,34.67251467,
100,12/4/2022 22:44,Available,NA,7.2,Run,,59,0,Boulder,0.75,0,0,0,0,0,0.75,No,Yes,34.672581,111.666968,,-111.6670051,34.67253024,
101,12/4/2022 22:45,Available,NA,7.2,Riffle,,24,0.38,Boulder,0.75,0,0,0,0,0,0.75,No,Yes,34.672631,111.666879,,-111.666966,34.67258611,
102,12/4/2022 22:48,Available,NA,3.5,Riffle,,16,0.13,Cobble,0.15,0,0,0,0,0,0.15,No,Yes,34.672716,111.666814,,-111.666894,34.67265786,
103,12/4/2022 22:50,Available,NA,4,Riffle,,21,0.18,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.672759,111.66673,,-111.6668296,34.67268339,
104,12/4/2022 22:53,Available,NA,5.1,Riffle,,20,0.04,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.67288,111.666646,,-111.6667192,34.67269322,
105,12/4/2022 22:56,Available,NA,7.3,Riffle,,22,0,Cobble,0.1,0,0,0,0,0,0.1,No,NA,34.672881,111.666555,,-111.6666389,34.67278509,"Changed canopy to NA, not clear in photo"
106,12/4/2022 22:59,Available,NA,3.7,Riffle,,28,0.01,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.672911,111.666507,,-111.6665323,34.67284306,
107,12/4/2022 23:02,Available,NA,5.9,Pool,,18,0.01,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.67298,111.666362,,-111.6664681,34.67290754,
108,12/4/2022 23:05,Available,NA,7.2,Pool,,58,0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.673037,111.666324,,-111.6663629,34.67296339,
109,12/4/2022 23:08,Available,NA,7,Pool,,92,0.05,Cobble,0,0,0,0,0,0,0,No,Yes,34.673058,111.666264,,-111.6662629,34.6730657,
111,12/4/2022 23:12,Available,NA,NA,Pool,,88,0,Cobble,0,0,0,0,0,0,0,No,No,34.673102,111.666139,,-111.6661717,34.6731112,Added NA to stream width
112,12/4/2022 23:13,Available,NA,3.5,Pool,,56,0.15,Cobble,0.3,0,0,0,0,0,0.3,No,No,34.673179,111.666155,,-111.666161,34.6731592,Changed to Available 
113,12/4/2022 23:15,Available,NA,4,Pool,,28,0.03,Cobble,0,0,0,0,0,0,0,No,NA,34.673151,111.666209,,-111.6662037,34.67313104,"Changed canopy to NA, not clear in photo"
114,12/4/2022 23:17,Available,NA,4.2,Pool,,23,0.05,Cobble,0.15,0,0,0,0,0,0.15,No,No,34.673103,111.666294,,-111.666286,34.6730924,
