ObjectID,Stream ,Creation Date,Site Type ,Tag,Stream Width (m),Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,,Data Edits
156,West Clear Creek,9/16/2022 18:57,Available,NA,5.9,Run,39,0.09,Boulder,0.5,0,0,0,0,0,0.5,No,No,34.538033,111.686256,,,
157,West Clear Creek,9/16/2022 19:56,Available,NA,8.8,Riffle,29,0.14,Cobble,0,0,0,0,0,0,0,No,No,34.538114,111.6862,,,
159,West Clear Creek,9/16/2022 19:59,Available,NA,8.2,Riffle,34,0.11,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.538083,111.686065,,,
160,West Clear Creek,9/16/2022 20:00,Available,NA,6.4,Riffle,43,0.07,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.538107,111.685966,,,
161,West Clear Creek,9/16/2022 20:02,Available,NA,8.7,Riffle,28,0,Gravel,0,0,0,0,0,0,0,No,No,34.538123,111.685847,,,
162,West Clear Creek,9/16/2022 20:05,Available,NA,7.5,Riffle,38,0.07,Cobble,0.05,0,0,0,0,0,0.05,No,Yes,34.538174,111.685779,,,
164,West Clear Creek,9/16/2022 20:08,Available,NA,9,Riffle,36,0.32,Pebble,0.15,0,0,0,0,0,0.15,No,Yes,34.538157,111.685685,,,
165,West Clear Creek,9/16/2022 20:09,Available,NA,8.3,Riffle,26,0.05,Gravel,0.1,0,0,0,0,0,0.1,No,Yes,34.538222,111.685631,,,
167,West Clear Creek,9/16/2022 20:13,Available,NA,8,Riffle,20,0,Gravel,0.05,0,0,0,0,0,0.05,No,Yes,34.538228,111.685572,,,
168,West Clear Creek,9/16/2022 20:15,Available,NA,9.2,Riffle,42,0.05,Boulder,0.35,0,0,0,0,0,0.35,No,Yes,34.538287,111.685497,,,
