,Tag,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
36,NA,Clear,April,4/25/2022 19:57,Available,14.24,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,No,34.537984,111.686946,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,Clear,April,4/25/2022 19:58,Available,11.53,Pool,53.34,0.22,Bedrock,0,0,0,0,0,0,0,No,34.537964,111.686938,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,Clear,April,4/25/2022 20:01,Available,12.72,Run,50.292,0.27,Bedrock,0,0,0,0,0,0,0,No,34.537964,111.686896,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,Clear,April,4/25/2022 20:54,Available,11.3,Riffle,36.576,0.35,Bedrock,0.1,0,0,0,0,0,0.1,Yes,34.538279,111.685397,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,Clear,April,4/26/2022 17:53,Available,6.12,Riffle,21.336,0.04,Bedrock,0,0.05,0,0,0,0,0.05,Yes,34.538715,111.683564,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,Clear,April,4/26/2022 21:24,Available,16.7,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,No,34.536442,111.680418,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,Clear,April,4/25/2022 17:41,Available,7,Riffle,12.192,0.59,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.538231,111.688989,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,Clear,April,4/25/2022 18:20,Available,7.71,Pool,111.252,0.1,Boulder,0.3,0,0,0,0,0,0.3,No,34.538434,111.688786,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,Clear,April,4/25/2022 18:25,Available,6.54,Riffle,39.624,0,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.538504,111.688491,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,Clear,April,4/25/2022 18:27,Available,7.04,Riffle,28.956,0.28,Boulder,0.7,0,0,0,0,0,0.7,Yes,34.538451,111.688352,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,Clear,April,4/25/2022 20:05,Available,18.18,Riffle,25.908,0.04,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.537983,111.686773,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,Clear,April,4/25/2022 20:07,Available,17.64,Riffle,25.908,0.86,Boulder,0.5,0,0,0,0,0,0.5,No,34.537992,111.68673,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,Clear,April,4/25/2022 20:09,Available,17.31,Riffle,36.576,0,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.538077,111.686654,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,Clear,April,4/25/2022 20:11,Available,13.59,Riffle,45.72,0.46,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.538031,111.68654,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,Clear,April,4/25/2022 20:16,Available,16.56,Riffle,19.812,0.63,Boulder,0.1,0,0,0,0,0,0.1,No,34.538046,111.686387,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,Clear,April,4/25/2022 20:29,Available,14.33,Riffle,27.432,0,Boulder,0.2,0,0,0,0,0,0.2,No,34.538156,111.686106,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,Clear,April,4/25/2022 20:04,Available,9.06,Riffle,27.432,0.07,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.537974,111.68679,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,Clear,April,4/25/2022 20:35,Available,13.78,Riffle,30.48,0.2,Boulder,0.1,0,0,0,0,0,0.1,No,34.538154,111.685935,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,Clear,April,4/25/2022 20:48,Available,16.85,Run,44.196,0.14,Boulder,0.05,0,0,0,0,0,0.05,No,34.538276,111.685559,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,Clear,April,4/25/2022 20:33,Available,14.56,Riffle,38.1,0.3,Cobble,0,0,0,0,0,0,0,Yes,34.538162,111.686015,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,Clear,April,4/25/2022 21:04,Available,11.27,Riffle,24.384,0.25,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.538362,111.685127,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,Clear,April,4/25/2022 21:10,Available,12.93,Riffle,48.768,0.15,Boulder,0.6,0,0,0,0,0,0.6,No,34.538344,111.685034,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,Clear,April,4/25/2022 20:44,Available,14.12,Run,45.72,0.21,Cobble,0,0,0,0,0,0,0,Yes,34.538292,111.685627,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,Clear,April,4/25/2022 21:23,Available,8.71,Riffle,39.624,0.45,Boulder,0.4,0.05,0,0,0,0,0.45,Yes,34.53834,111.684895,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,Clear,April,4/25/2022 21:24,Available,15.79,Riffle,24.384,0.32,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.53839,111.68485,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,Clear,April,4/25/2022 21:34,Available,16.32,Riffle,48.768,0.58,Boulder,0.5,0,0,0,0,0,0.5,No,34.538498,111.684604,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,Clear,April,4/25/2022 21:38,Available,16.23,Riffle,27.432,0,Boulder,0.1,0.05,0,0,0,0,0.15,Yes,34.538524,111.684561,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,Clear,April,4/25/2022 21:44,Available,15.6,Riffle,45.72,0.54,Boulder,0.3,0.1,0,0,0,0,0.4,No,34.538633,111.68424,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,Clear,April,4/25/2022 21:51,Available,16.25,Pool,39.624,0.04,Boulder,0.7,0,0,0,0,0,0.7,No,34.538624,111.684242,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,Clear,April,4/25/2022 22:00,Available,12.44,Pool,96.012,0.06,Boulder,0.7,0,0,0,0,0,0.7,No,34.538572,111.683897,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,Clear,April,4/25/2022 21:39,Available,14.32,Riffle,27.432,0.45,Cobble,0,0,0,0.1,0,0,0.1,Yes,34.538507,111.684506,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,Clear,April,4/25/2022 22:06,Available,7.58,Pool,67.056,0.32,Boulder,0.1,0,0,0,0,0,0.1,No,34.538659,111.68372,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,Clear,April,4/25/2022 22:08,Available,11.32,Pool,60.96,0,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.538659,111.683735,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,Clear,April,4/26/2022 17:47,Available,7.13,Pool,73.152,0.13,Boulder,0.25,0,0,0,0,0,0.25,Yes,34.538751,111.683738,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,Clear,April,4/26/2022 18:09,Available,8,Riffle,48.768,0.76,Boulder,0.5,0.15,0,0,0,0,0.65,Yes,34.538642,111.683248,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,Clear,April,4/26/2022 18:31,Available,12.3,Riffle,33.528,0.07,Boulder,0.7,0,0,0,0,0,0.7,No,34.328401,111.682953,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,Clear,April,4/26/2022 18:32,Available,7.87,Riffle,30.48,0,Boulder,0.3,0,0,0,0,0,0.3,No,34.538364,111.682871,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,Clear,April,4/26/2022 18:45,Available,9.3,Pool,33.528,0.1,Boulder,0.65,0,0,0,0,0,0.65,No,34.538134,111.682574,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,Clear,April,4/26/2022 18:52,Available,11.53,Pool,42.672,0.01,Boulder,0.45,0,0,0,0,0,0.45,No,34.537939,111.682379,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,Clear,April,4/26/2022 18:13,Available,6.53,Riffle,51.816,0.08,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.538565,111.683181,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,Clear,April,4/26/2022 19:14,Available,9.4,Riffle,15.24,0.17,Boulder,0.4,0.1,0,0,0,0,0.5,Yes,34.537559,111.681955,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,Clear,April,4/26/2022 19:17,Available,8.2,Riffle,64.008,0.58,Boulder,0.65,0,0,0,0,0,0.65,Yes,34.537537,111.681934,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,Clear,April,4/26/2022 20:30,Available,10.73,Riffle,39.624,0.24,Boulder,0.7,0,0,0,0,0,0.7,Yes,34.537047,111.681397,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,Clear,April,4/26/2022 20:47,Available,12.89,Riffle,30.48,0.01,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.536927,111.681264,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,Clear,April,4/26/2022 20:50,Available,11.5,Riffle,33.528,0.03,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.536881,111.681124,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,Clear,April,4/26/2022 21:36,Available,12.14,Pool,77.724,0.06,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.536124,111.680198,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,Clear,April,4/26/2022 21:41,Available,13.1,Riffle,39.624,0.2,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.536067,111.679985,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,Clear,April,4/26/2022 21:47,Available,8.66,Riffle,18.288,0.39,Boulder,0.8,0,0,0,0,0,0.8,Yes,34.535995,111.879845,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,Clear,April,4/26/2022 22:19,Available,7,Riffle,19.812,0.48,Boulder,0.8,0.05,0,0,0,0,0.85,Yes,34.53597,111.679241,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,Clear,April,4/25/2022 20:20,Available,12.9,Run,30.48,0.29,Boulder,0,0,0,0,0,0,0,Yes,34.538072,111.686317,NA,Confirmed with photo,NA,NA,NA,NA,NA,NA,NA
86,NA,Clear,April,4/25/2022 17:59,Available,6.3,Pool,25.908,0.02,Cobble,0.1,0,0,0.05,0,0,0.15,NA,34.538161,111.688469,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,Clear,April,4/25/2022 18:07,Available,6.43,Riffle,12.192,0.05,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.538151,111.688289,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,Clear,April,4/25/2022 18:14,Available,10.74,Pool,36.576,0.11,Cobble,0,0,0,0,0,0,0,No,34.538405,111.688888,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,Clear,April,4/25/2022 18:29,Available,6.3,Riffle,45.72,0.27,Cobble,0.25,0,0,0,0,0,0.25,Yes,34.538383,111.688183,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,Clear,April,4/25/2022 18:31,Available,6.28,Riffle,12.192,0.35,Cobble,0.1,0.3,0,0,0,0,0.4,Yes,34.538301,111.688069,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,Clear,April,4/25/2022 20:02,Available,11.33,Riffle,42.672,0.22,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.537991,111.68682,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,Clear,April,4/26/2022 21:38,Available,12.54,Riffle,50.292,0.24,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.536116,111.680084,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,Clear,April,4/25/2022 20:18,Available,17.01,Riffle,48.768,0.2,Cobble,0,0,0,0,0,0,0,No,34.538059,111.686343,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,Clear,April,4/25/2022 20:24,Available,13.45,Run,24.384,0.08,Cobble,0,0,0,0,0,0,0,No,34.538085,111.686178,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,Clear,April,4/26/2022 21:50,Available,10.98,Riffle,50.292,0.02,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.536004,111.679756,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,Clear,April,4/25/2022 20:39,Available,14.56,Riffle,42.672,0.58,Cobble,0.2,0,0,0,0,0,0.2,No,34.538183,111.685797,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,Clear,April,4/25/2022 20:41,Available,9.23,Riffle,38.1,0.77,Cobble,0,0,0,0,0,0,0,Yes,34.538221,111.685756,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,Clear,April,4/26/2022 21:57,Available,14.84,Riffle,30.48,0,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.536025,111.67951,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,Clear,April,4/25/2022 20:52,Available,13.29,Run,33.528,0.19,Cobble,0,0,0,0,0,0,0,Yes,34.538306,111.685471,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,Clear,April,4/25/2022 20:56,Available,15.03,Riffle,41.148,0.45,Cobble,0.25,0,0,0,0,0,0.25,No,34.53828,111.685366,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,Clear,April,4/25/2022 21:00,Available,13.64,Riffle,35.052,0.14,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.538306,111.685213,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,Clear,April,4/26/2022 22:42,Available,17.48,Pool,48.768,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.535846,111.678595,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,Clear,April,4/26/2022 22:44,Available,13.47,Pool,67.056,0.02,Gravel,0,0,0,0,0,0,0,Yes,34.535836,111.678534,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,Clear,April,4/25/2022 21:17,Available,9.56,Riffle,54.864,0.29,Cobble,0.3,0,0,0,0,0,0.3,No,34.538339,111.685019,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,Clear,April,4/25/2022 21:20,Available,7.35,Riffle,38.1,0.46,Cobble,0.25,0.05,0,0,0,0,0.3,No,34.538354,111.684956,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,Clear,April,4/26/2022 22:22,Available,12.64,Riffle,41.148,0.23,Cobble,0,0,0,0,0,0,0,Yes,34.535988,111.67918,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,Clear,April,4/26/2022 22:25,Available,9.77,Riffle,30.48,0.37,Cobble,0.55,0,0,0,0,0,0.55,Yes,34.535995,111.67914,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,Clear,April,4/26/2022 17:51,Available,7.52,Riffle,35.052,0,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.538728,111.683595,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,Clear,April,4/26/2022 17:56,Available,6,Riffle,54.864,0.34,Cobble,0.1,0,0,0,0,0,0.1,No,34.538735,111.683511,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,Clear,April,4/26/2022 17:59,Available,8.82,Riffle,59.436,0.05,Cobble,0.2,0,0,0,0,0,0.2,No,34.538715,111.683449,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,Clear,April,4/26/2022 18:01,Available,7.5,Riffle,45.72,0.24,Cobble,0.3,0,0,0,0,0,0.3,No,34.538688,111.683398,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,Clear,April,4/26/2022 22:52,Available,11.56,Pool,>150,Na,NA,0,0,0,0,0,0,0,No,34.535734,111.678307,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,Clear,April,4/26/2022 18:08,Available,12.26,Pool,44.196,0.36,Cobble,0.25,0,0,0,0,0,0.25,Yes,34.538676,111.683321,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,Clear,April,4/26/2022 18:11,Available,7.24,Riffle,33.528,0.95,Cobble,0,0.1,0,0,0,0,0.1,Yes,34.538592,111.6832,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,Clear,April,4/26/2022 18:27,Available,15.4,Pool,59.436,0,Gravel,0,0,0,0,0,0,0,Yes,34.538454,111.683034,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,Clear,April,4/26/2022 18:15,Available,11.3,Riffle,57.912,0.26,Cobble,0.2,0,0,0,0,0,0.2,No,34.538467,111.683108,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,Clear,April,4/26/2022 18:28,Available,13.05,Riffle,25.908,0.02,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.538442,111.682992,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,Clear,April,4/26/2022 18:37,Available,12.6,Riffle,35.052,0.07,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.53832,111.6827,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,Clear,April,4/26/2022 18:51,Available,11.5,Pool,73.152,0.09,Cobble,0,0,0,0,0,0,0,No,34.537984,111.682415,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,Clear,April,4/26/2022 19:21,Available,10.1,Pool,35.052,0.02,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.537371,111.681798,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,Clear,April,4/26/2022 20:24,Available,14.2,Riffle,42.672,0.14,Cobble,0,0,0,0,0,0,0,Yes,34.537122,111.681593,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,Clear,April,4/26/2022 20:27,Available,12.27,Riffle,27.432,0.03,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.537086,111.681473,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,Clear,April,4/26/2022 20:29,Available,11.4,Riffle,57.912,0.04,Cobble,0.25,0,0,0,0,0,0.25,Yes,34.53702,111.681451,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,Clear,April,4/26/2022 19:12,Available,9.5,Run,45.72,0.14,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.537596,111.682036,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,Clear,April,4/26/2022 19:18,Available,8.7,Run,30.48,0.04,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.537428,111.6819,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,Clear,April,4/26/2022 20:42,Available,12.2,Run,60.96,0.04,Cobble,0.1,0,0,0,0,0,0.1,No,34.536991,111.681313,NA,NA,NA,NA,NA,NA,NA,NA,NA
