,Tag,Stream,Month,ObjectID,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
19,189,Clear,September,288,9/16/2022 0:07,Occupied,11.5,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.535719,111.67827,NA,Changed date to reflect original data,Desert Sucker,160,240,Backpack Shocker,11/28/2022,Honey Hole,NA
20,190,Clear,September,216,9/16/2022 21:51,Occupied,12.3,Pool,67,0.08,Gravel,0.15,0,0,0,0,0,0.15,Yes,34.538041,111.68257,NA,Changed to Occupied,Desert Sucker,186,247,Backpack Shocker,11/28/2022,Honey Hole,NA
22,191,Clear,September,224,9/16/2022 22:14,Occupied,8.1,Pool,61,0.15,Cobble,0.35,0,0,0,0,0,0.35,Yes,34.53785,111.68234,With 5 others,NA,Desert Sucker,168,245,Backpack Shocker,11/28/2022,Honey Hole,NA
21,191,Clear,September,228,9/16/2022 22:20,Occupied,6.1,Riffle,48,0.18,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.537641,111.682125,NA,NA,Desert Sucker,168,245,Backpack Shocker,11/28/2022,Honey Hole,NA
23,198,Clear,September,204,9/16/2022 21:26,Occupied,5.3,Run,50,0.19,Cobble,0.15,0,0,0,0,0,0.15,No,34.538594,111.683286,Visualy confirmed,NA,Black Bass,99,195,Backpack Shocker,11/28/2022,Camp Crossing,NA
24,200,Clear,September,262,9/16/2022 23:24,Occupied,9.5,Pool,94,0.11,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.536182,111.680224,NA,"Changed to Occupied. There are 2 separate tagging records for tag 200, on separate dates in 11/22",Desert Sucker,NA,239,E-fishing,11/5/2022,NA,NA
25,200,Clear,September,262,9/16/2022 23:24,Occupied,9.5,Pool,94,0.11,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.536182,111.680224,NA,Changed to Occupied,Desert Sucker,262,277,Backpack Shocker,11/28/2022,Honey Hole,NA
26,218,Clear,September,158,9/16/2022 19:57,Occupied,7,Riffle,36,0.08,Cobble,0,0,0,0,0,0,0,Yes,34.538093,111.686137,NA,NA,Black Bass,87,194,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
52,NA,Clear,September,125,9/16/2022 17:35,Available,6.01,Riffle,46,0.33,Silt,0,0,0,0,0,0,0,Yes,34.538417,111.688881,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,Clear,September,126,9/16/2022 17:38,Available,5.3,Pool,>150,Na,Cobble,0,0,0,0,0,0,0,NA,34.538469,111.688698,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,Clear,September,127,9/16/2022 17:39,Available,2.4,Riffle,32,0.2,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.538512,111.688527,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,Clear,September,128,9/16/2022 17:42,Available,4.1,Riffle,30,0.28,Cobble,0,0,0,0,0,0,0,Yes,34.538413,111.688422,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,Clear,September,129,9/16/2022 17:44,Available,5.4,Riffle,22,0.48,Pebble,0.1,0.05,0,0,0,0,0.15,Yes,34.538371,111.688274,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,Clear,September,130,9/16/2022 17:47,Available,5.9,Riffle,30,0.47,Boulder,0.2,0.4,0,0,0,0,0.6,Yes,34.538344,111.688158,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,Clear,September,131,9/16/2022 17:49,Available,11.6,Pool,76,0.01,Pebble,0,0,0,0,0,0,0,No,34.538219,111.687972,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,Clear,September,132,9/16/2022 18:05,Available,2.6,Riffle,10,0.25,Gravel,0,0,0,0,0,0,0,Yes,34.538182,111.688655,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,Clear,September,133,9/16/2022 18:07,Available,3.8,Riffle,12,0.03,Silt,0.2,0,0,0,0,0,0.2,No,34.538162,111.688526,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,Clear,September,134,9/16/2022 18:09,Available,4.6,Riffle,3,0,Silt,0.2,0,0,0,0,0,0.2,No,34.538141,111.688341,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,Clear,September,135,9/16/2022 18:11,Available,5.8,Pool,11,0,Cobble,0,0,0,0,0,0,0,Yes,34.538175,111.688177,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,Clear,September,136,9/16/2022 18:13,Available,10.3,Pool,73,0,Gravel,0.05,0,0,0,0,0,0.05,No,34.53823,111.687987,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,Clear,September,137,9/16/2022 18:17,Available,12,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.538273,111.687902,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,Clear,September,138,9/16/2022 18:19,Available,17,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.538238,111.687643,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,Clear,September,139,9/16/2022 18:23,Available,16.5,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.538276,111.687513,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,Clear,September,140,9/16/2022 18:25,Available,20,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.538243,111.687433,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,Clear,September,141,9/16/2022 18:26,Available,15,Pool,>150,Na,NA,0,0,0,0,0,0,0,No,34.538234,111.687353,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,Clear,September,142,9/16/2022 18:28,Available,12.5,Pool,>150,Na,NA,0,0,0,0,0,0,0,No,34.538156,111.68725,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,Clear,September,144,9/16/2022 18:32,Available,16.8,Pool,>150,Na,NA,0,0,0,0,0,0,0,No,34.53816,111.687185,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,Clear,September,145,9/16/2022 18:33,Available,13.4,Pool,4,0,Silt,0,0,0,0.3,0,0,0.3,Yes,34.538128,111.687069,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,Clear,September,146,9/16/2022 18:35,Available,13.4,Pool,>150,Na,NA,0,0,0,0,0,0,0,No,34.538085,111.686951,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,Clear,September,148,9/16/2022 18:40,Available,14.3,Pool,20,0,Bedrock,0,0,0,0,0,0,0,No,34.537991,111.686937,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,Clear,September,149,9/16/2022 18:43,Available,8.89,Riffle,42,0.23,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.537992,111.686813,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,Clear,September,150,9/16/2022 18:45,Available,12.3,Riffle,15,0.16,Pebble,0.05,0,0,0.1,0,0,0.15,No,34.537969,111.686709,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,Clear,September,152,9/16/2022 18:49,Available,13.5,Riffle,46,0.18,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.538031,111.686604,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,Clear,September,153,9/16/2022 18:51,Available,6.61,Riffle,53,0.23,Cobble,0.2,0.05,0,0,0,0,0.25,Yes,34.537967,111.686517,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,Clear,September,154,9/16/2022 18:54,Available,7.2,Riffle,38,0,Boulder,0.4,0,0,0,0,0,0.4,No,34.537989,111.686438,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,Clear,September,155,9/16/2022 18:56,Available,9.4,Riffle,43,0.05,Cobble,0.1,0,0,0,0,0,0.1,No,34.538009,111.686361,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,Clear,September,156,9/16/2022 18:57,Available,5.9,Run,39,0.09,Boulder,0.5,0,0,0,0,0,0.5,No,34.538033,111.686256,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,Clear,September,157,9/16/2022 19:56,Available,8.8,Riffle,29,0.14,Cobble,0,0,0,0,0,0,0,No,34.538114,111.6862,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,Clear,September,159,9/16/2022 19:59,Available,8.2,Riffle,34,0.11,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.538083,111.686065,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,Clear,September,160,9/16/2022 20:00,Available,6.4,Riffle,43,0.07,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.538107,111.685966,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,Clear,September,161,9/16/2022 20:02,Available,8.7,Riffle,28,0,Gravel,0,0,0,0,0,0,0,No,34.538123,111.685847,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,Clear,September,162,9/16/2022 20:05,Available,7.5,Riffle,38,0.07,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.538174,111.685779,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,Clear,September,164,9/16/2022 20:08,Available,9,Riffle,36,0.32,Pebble,0.15,0,0,0,0,0,0.15,Yes,34.538157,111.685685,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,Clear,September,165,9/16/2022 20:09,Available,8.3,Riffle,26,0.05,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.538222,111.685631,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,Clear,September,167,9/16/2022 20:13,Available,8,Riffle,20,0,Gravel,0.05,0,0,0,0,0,0.05,Yes,34.538228,111.685572,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,Clear,September,168,9/16/2022 20:15,Available,9.2,Riffle,42,0.05,Boulder,0.35,0,0,0,0,0,0.35,Yes,34.538287,111.685497,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,Clear,September,171,9/16/2022 20:19,Available,6.5,Run,55,0.15,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.538274,111.685438,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,Clear,September,173,9/16/2022 20:23,Available,8.04,Riffle,27,0.31,Pebble,0,0,0,0,0,0,0,Yes,34.538308,111.68541,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,Clear,September,175,9/16/2022 20:27,Available,12.9,Riffle,25,0.51,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.538221,111.685252,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,Clear,September,176,9/16/2022 20:29,Available,9.6,Riffle,24,0.18,Cobble,0,0,0,0,0,0,0,Yes,34.538265,111.685182,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,Clear,September,177,9/16/2022 20:31,Available,7.8,Riffle,28,0.15,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.538267,111.685138,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,Clear,September,179,9/16/2022 20:35,Available,5.4,Run,57,0.15,Cobble,0,0,0,0,0,0,0,Yes,34.538256,111.685055,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,Clear,September,180,9/16/2022 20:37,Available,7,Riffle,13,0.12,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.538329,111.685013,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,Clear,September,181,9/16/2022 20:40,Available,8.13,Riffle,29,0.09,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.538379,111.684955,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,Clear,September,182,9/16/2022 20:42,Available,9.4,Riffle,40,0.07,Pebble,0.2,0,0,0,0,0,0.2,NA,34.538359,111.684838,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,Clear,September,183,9/16/2022 20:44,Available,8.8,Riffle,21,0,Cobble,0.05,0,0,0.05,0,0,0.1,No,34.538392,111.684762,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,Clear,September,184,9/16/2022 20:46,Available,7.4,Riffle,28,0.16,Cobble,0.05,0,0,0,0,0,0.05,Yes,34.53839,111.684715,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,Clear,September,185,9/16/2022 20:48,Available,8.4,Riffle,24,0.07,Gravel,0,0.1,0,0,0,0,0.1,Yes,34.538419,111.684596,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,Clear,September,186,9/16/2022 20:51,Available,8,Riffle,28,0,Cobble,0.25,0,0,0,0,0,0.25,No,34.538511,111.684532,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,Clear,September,187,9/16/2022 20:53,Available,4.7,Riffle,22,0.02,Gravel,0,0,0,0,0,0,0,No,34.538501,111.684442,NA,Changed velocity from 200 to 0.02,NA,NA,NA,NA,NA,NA,NA
104,NA,Clear,September,188,9/16/2022 20:55,Available,8.1,Run,54,0.1,Pebble,0.3,0,0,0.1,0,0,0.4,No,34.538575,111.684375,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,Clear,September,189,9/16/2022 20:56,Available,12.3,Pool,50,0.01,Gravel,0.1,0,0,0,0,0,0.1,No,34.538561,111.684269,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,Clear,September,191,9/16/2022 21:01,Available,11.2,Pool,44,0.02,Gravel,0,0,0,0,0,0,0,No,34.538577,111.684224,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,Clear,September,192,9/16/2022 21:02,Available,10.5,Pool,86,0.04,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.538554,111.684156,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,Clear,September,194,9/16/2022 21:07,Available,11.6,Pool,56,0,Pebble,0,0,0,0.2,0,0,0.2,No,34.538558,111.684053,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,Clear,September,195,9/16/2022 21:09,Available,8,Pool,107,0.07,Cobble,0,0,0,0,0,0,0,Yes,34.538622,111.683978,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,Clear,September,196,9/16/2022 21:11,Available,5.4,Pool,83,0.07,Cobble,0,0,0,0,0,0,0,No,34.53863,111.683909,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,Clear,September,198,9/16/2022 21:15,Available,4.2,Run,70,0.07,Boulder,0.25,0,0,0,0,0,0.25,No,34.538608,111.683865,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,Clear,September,199,9/16/2022 21:17,Available,5,Run,67,0.08,Bedrock,0,0,0,0,0,0,0,Yes,34.538634,111.683675,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,Clear,September,200,9/16/2022 21:19,Available,5.6,Riffle,40,0,Cobble,0,0,0,0,0,0,0,No,34.538571,111.68358,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,Clear,September,201,9/16/2022 21:21,Available,3.1,Riffle,35,0,Bedrock,0,0.1,0,0,0,0,0.1,Yes,34.538609,111.683526,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,Clear,September,202,9/16/2022 21:23,Available,5.1,Riffle,35,0.1,Pebble,0.2,0,0,0,0,0,0.2,No,34.538611,111.683425,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,Clear,September,203,9/16/2022 21:24,Available,4.8,Riffle,12,0.07,Silt,0,0,0.2,0,0,0,0.2,No,34.538564,111.683353,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,Clear,September,205,9/16/2022 21:28,Available,6.2,Run,49,0.02,Gravel,0.05,0,0,0.05,0,0,0.1,No,34.538582,111.683234,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,Clear,September,206,9/16/2022 21:30,Available,4.4,Run,62,0.63,Cobble,0.05,0.1,0,0,0,0,0.15,Yes,34.538606,111.683193,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,Clear,September,207,9/16/2022 21:31,Available,4,Riffle,36,0.38,Boulder,0.2,0.15,0,0,0,0,0.35,Yes,34.538457,111.683179,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,Clear,September,208,9/16/2022 21:34,Available,6.5,Run,52,0.06,Cobble,0.1,0,0,0,0,0,0.1,No,34.538411,111.683102,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,Clear,September,209,9/16/2022 21:36,Available,7.6,Riffle,34,0.09,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.53837,111.683062,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,Clear,September,210,9/16/2022 21:38,Available,4.9,Riffle,37,0.18,Cobble,0,0.25,0,0,0,0,0.25,NA,34.538353,111.682989,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,Clear,September,211,9/16/2022 21:40,Available,6.9,Riffle,20,0.03,Pebble,0.45,0,0,0,0,0,0.45,No,34.538309,111.682919,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,Clear,September,212,9/16/2022 21:42,Available,10,Riffle,26,0.01,Gravel,0.3,0,0,0,0,0,0.3,Yes,34.538288,111.682794,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,Clear,September,213,9/16/2022 21:44,Available,9.9,Riffle,44,0.06,Gravel,0.25,0,0,0,0,0,0.25,Yes,34.538227,111.682743,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,Clear,September,214,9/16/2022 21:46,Available,10.2,Riffle,45,0.13,Cobble,0.05,0,0,0.05,0,0,0.1,No,34.538175,111.682705,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,Clear,September,215,9/16/2022 21:49,Available,12.6,Riffle,42,0.21,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.538113,111.682645,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,Clear,September,217,9/16/2022 21:54,Available,10.7,Pool,46,0.05,Boulder,0.35,0,0,0,0,0,0.35,Yes,34.538057,111.68255,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,Clear,September,218,9/16/2022 21:55,Available,9.2,Pool,52,0.04,Cobble,0.2,0,0,0.1,0,0,0.3,No,34.537997,111.682556,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,Clear,September,219,9/16/2022 21:58,Available,10.2,Pool,56,0.05,Boulder,0.15,0,0,0,0,0,0.15,Yes,34.53795,111.682523,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,Clear,September,220,9/16/2022 22:00,Available,8.4,Pool,76,0.04,Boulder,0.3,0,0,0,0,0,0.3,No,34.537962,111.68244,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,Clear,September,221,9/16/2022 22:03,Available,8.13,Pool,70,0.08,Cobble,0.25,0,0,0.05,0,0,0.3,Yes,34.53792,111.682388,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,NA,Clear,September,223,9/16/2022 22:12,Available,8.1,Pool,61,0.1,Gravel,0.35,0,0,0,0,0,0.35,Yes,34.537856,111.682339,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,NA,Clear,September,225,9/16/2022 22:15,Available,7.7,Pool,42,0,Gravel,0,0,0,0,0,0,0,Yes,34.53778,111.682269,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,NA,Clear,September,226,9/16/2022 22:17,Available,8.6,Pool,45,0.07,Boulder,0.25,0,0,0,0,0,0.25,Yes,34.537721,111.682207,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,NA,Clear,September,227,9/16/2022 22:18,Available,7.8,Pool,71,0.26,Gravel,0,0,0,0,0,0,0,Yes,34.537682,111.682133,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,NA,Clear,September,229,9/16/2022 22:21,Available,7.6,Riffle,32,0.1,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.537598,11.68212,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,NA,Clear,September,230,9/16/2022 22:23,Available,7.4,Riffle,32,0.42,Gravel,0,0,0,0,0,0,0,Yes,34.537566,111.682072,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,NA,Clear,September,231,9/16/2022 22:25,Available,7.3,Riffle,22,0.39,Cobble,0.1,0.05,0,0,0,0,0.15,NA,34.537509,111.681986,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,Clear,September,232,9/16/2022 22:26,Available,6.3,Riffle,36,0.39,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.537482,111.681899,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,Clear,September,233,9/16/2022 22:28,Available,7.6,Riffle,36,0.08,Gravel,0,0,0,0,0,0,0,Yes,34.537433,111.681874,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,Clear,September,234,9/16/2022 22:29,Available,9.5,Pool,50,0.04,Gravel,0.05,0,0,0,0,0,0.05,NA,34.537394,111.681843,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,Clear,September,235,9/16/2022 22:31,Available,10,Riffle,20,0.11,Pebble,0,0,0,0,0,0,0,Yes,34.537252,111.681745,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,Clear,September,236,9/16/2022 22:32,Available,10.6,Riffle,16,0.01,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.537215,111.681716,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,Clear,September,237,9/16/2022 22:34,Available,9.8,Riffle,39,0.17,Pebble,0.05,0,0,0,0,0,0.05,Yes,34.537157,111.681613,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,Clear,September,238,9/16/2022 22:36,Available,8.2,Riffle,32,0.18,Boulder,0.15,0,0,0,0,0,0.15,Yes,34.537134,111.681551,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,Clear,September,239,9/16/2022 22:38,Available,10,Riffle,54,0.08,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.537068,111.681492,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,Clear,September,240,9/16/2022 22:39,Available,7.4,Riffle,37,0.12,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.537051,111.681455,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,Clear,September,241,9/16/2022 22:41,Available,9.7,Riffle,42,0.22,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.537047,111.681339,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,Clear,September,243,9/16/2022 22:46,Available,8.3,Riffle,24,0.01,Pebble,0.45,0,0,0,0,0,0.45,Yes,34.536938,111.681293,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,Clear,September,244,9/16/2022 22:47,Available,7.9,Riffle,47,0.25,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.536931,111.681247,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,Clear,September,245,9/16/2022 22:49,Available,6.5,Riffle,27,0.07,Gravel,0.15,0,0,0,0,0,0.15,Yes,34.536917,111.681169,NA,NA,NA,NA,NA,NA,NA,NA,NA
