"","...1","Stream","Month","Site.Type","Tag","Species","Mesohabitat","Stream.Width","Depth","Velocity","Substrate","Substrate.Feature","Surface.Turbulence","Aquatic.Vegetation","Large.Woody.Debris","Terrestrial.Vegetation","Undercut.Bank","Instream.Cover","Canopy.Cover","Longitude","Latitude","Notes","Creation.Date","Data.Change","Weight","Length","Capture.Method","Capture.Date","Release","Notes.y","ObjectID"
"15",8,"Clear","May","Occupied",167,"Desert Sucker","Riffle",10.108,"50",0.17,"Gravel",0.4,0,0,0,0,0,0.4,"No",34.536096,"111.680134",NA,"5/31/2022 23:37",NA,188,248,"Backpack Shocker","11/28/2022","Camp Crossing",NA,229
"16",14,"Clear","May","Occupied",176,"Desert Sucker","Riffle",13.244,"53",0.2,"Pebble",0.4,0,0,0,0,0,0.4,"No",34.538096,"111.68639",NA,"5/30/2022 23:06",NA,186,252,"Backpack Shocker","11/28/2022","Honey Hole",NA,160
"17",9,"Clear","May","Occupied",167,"Desert Sucker","Riffle",8.731,"54",0.27,"Pebble",0.7,0,0,0,0,0,0.7,"Yes",34.536088,"111.679874",NA,"5/31/2022 23:45",NA,188,248,"Backpack Shocker","11/28/2022","Camp Crossing",NA,232
"18",19,"Clear","May","Occupied",189,"Desert Sucker","Riffle",5.738,"54",0.45,"Boulder",0.3,0,0,0,0,0,0.3,"Yes",34.535965,"111.679",NA,"5/31/2022 0:00","Changed date to correct date",160,240,"Backpack Shocker","11/28/2022","Honey Hole",NA,239
"19",21,"Clear","May","Occupied",191,"Desert Sucker","Riffle",6.911,"54",0.01,"Pebble",0.4,1,0,0,0,0,1.4,"Yes",34.536028,"111.679635",NA,"5/31/2022 23:51",NA,168,245,"Backpack Shocker","11/28/2022","Honey Hole",NA,234
"20",23,"Clear","May","Occupied",200,"Desert Sucker","Riffle",9.105,"56",0.32,"Boulder",0.2,0,0,0.1,0,0,0.3,"Yes",34.536082,"111.679932",NA,"5/31/2022 23:43",NA,262,277,"Backpack Shocker","11/28/2022","Honey Hole",NA,231
"21",20,"Clear","May","Occupied",190,"Desert Sucker","Riffle",10.96,"23",0.11,"Cobble",0.1,0,0,0,0,0,0.1,"Yes",34.538008,"111.682475","Visually confirmed group of 8","5/31/2022 21:41","Changed depth of 83 to 23 based on photo",186,247,"Backpack Shocker","11/28/2022","Honey Hole",NA,207
"22",39,"Clear","April","Available",NA,NA,"Riffle",11.3,"36.576",0.35,"Bedrock",0.1,0,0,0,0,0,0.1,"Yes",34.538279,"111.685397",NA,"4/25/2022 20:54",NA,NA,NA,NA,NA,NA,NA,NA
"23",40,"Clear","April","Available",NA,NA,"Riffle",6.12,"21.336",0.04,"Bedrock",0,0.05,0,0,0,0,0.05,"Yes",34.538715,"111.683564",NA,"4/26/2022 17:53",NA,NA,NA,NA,NA,NA,NA,NA
"24",42,"Clear","April","Available",NA,NA,"Riffle",7,"12.192",0.59,"Boulder",0.3,0,0,0,0,0,0.3,"Yes",34.538231,"111.688989",NA,"4/25/2022 17:41",NA,NA,NA,NA,NA,NA,NA,NA
"25",44,"Clear","April","Available",NA,NA,"Riffle",6.54,"39.624",0,"Boulder",0.5,0,0,0,0,0,0.5,"Yes",34.538504,"111.688491",NA,"4/25/2022 18:25",NA,NA,NA,NA,NA,NA,NA,NA
"26",45,"Clear","April","Available",NA,NA,"Riffle",7.04,"28.956",0.28,"Boulder",0.7,0,0,0,0,0,0.7,"Yes",34.538451,"111.688352",NA,"4/25/2022 18:27",NA,NA,NA,NA,NA,NA,NA,NA
"27",46,"Clear","April","Available",NA,NA,"Riffle",18.18,"25.908",0.04,"Boulder",0.2,0,0,0,0,0,0.2,"Yes",34.537983,"111.686773",NA,"4/25/2022 20:05",NA,NA,NA,NA,NA,NA,NA,NA
"28",47,"Clear","April","Available",NA,NA,"Riffle",17.64,"25.908",0.86,"Boulder",0.5,0,0,0,0,0,0.5,"No",34.537992,"111.68673",NA,"4/25/2022 20:07",NA,NA,NA,NA,NA,NA,NA,NA
"29",48,"Clear","April","Available",NA,NA,"Riffle",17.31,"36.576",0,"Boulder",0.1,0,0,0,0,0,0.1,"Yes",34.538077,"111.686654",NA,"4/25/2022 20:09",NA,NA,NA,NA,NA,NA,NA,NA
"30",49,"Clear","April","Available",NA,NA,"Riffle",13.59,"45.72",0.46,"Boulder",0.4,0,0,0,0,0,0.4,"Yes",34.538031,"111.68654",NA,"4/25/2022 20:11",NA,NA,NA,NA,NA,NA,NA,NA
"31",50,"Clear","April","Available",NA,NA,"Riffle",16.56,"19.812",0.63,"Boulder",0.1,0,0,0,0,0,0.1,"No",34.538046,"111.686387",NA,"4/25/2022 20:16",NA,NA,NA,NA,NA,NA,NA,NA
"32",51,"Clear","April","Available",NA,NA,"Riffle",14.33,"27.432",0,"Boulder",0.2,0,0,0,0,0,0.2,"No",34.538156,"111.686106",NA,"4/25/2022 20:29",NA,NA,NA,NA,NA,NA,NA,NA
"33",52,"Clear","April","Available",NA,NA,"Riffle",9.06,"27.432",0.07,"Cobble",0.05,0,0,0,0,0,0.05,"Yes",34.537974,"111.68679",NA,"4/25/2022 20:04",NA,NA,NA,NA,NA,NA,NA,NA
"34",53,"Clear","April","Available",NA,NA,"Riffle",13.78,"30.48",0.2,"Boulder",0.1,0,0,0,0,0,0.1,"No",34.538154,"111.685935",NA,"4/25/2022 20:35",NA,NA,NA,NA,NA,NA,NA,NA
"35",55,"Clear","April","Available",NA,NA,"Riffle",14.56,"38.1",0.3,"Cobble",0,0,0,0,0,0,0,"Yes",34.538162,"111.686015",NA,"4/25/2022 20:33",NA,NA,NA,NA,NA,NA,NA,NA
"36",56,"Clear","April","Available",NA,NA,"Riffle",11.27,"24.384",0.25,"Boulder",0.6,0,0,0,0,0,0.6,"Yes",34.538362,"111.685127",NA,"4/25/2022 21:04",NA,NA,NA,NA,NA,NA,NA,NA
"37",57,"Clear","April","Available",NA,NA,"Riffle",12.93,"48.768",0.15,"Boulder",0.6,0,0,0,0,0,0.6,"No",34.538344,"111.685034",NA,"4/25/2022 21:10",NA,NA,NA,NA,NA,NA,NA,NA
"38",59,"Clear","April","Available",NA,NA,"Riffle",8.71,"39.624",0.45,"Boulder",0.4,0.05,0,0,0,0,0.45,"Yes",34.53834,"111.684895",NA,"4/25/2022 21:23",NA,NA,NA,NA,NA,NA,NA,NA
"39",60,"Clear","April","Available",NA,NA,"Riffle",15.79,"24.384",0.32,"Boulder",0.2,0,0,0,0,0,0.2,"Yes",34.53839,"111.68485",NA,"4/25/2022 21:24",NA,NA,NA,NA,NA,NA,NA,NA
"40",61,"Clear","April","Available",NA,NA,"Riffle",16.32,"48.768",0.58,"Boulder",0.5,0,0,0,0,0,0.5,"No",34.538498,"111.684604",NA,"4/25/2022 21:34",NA,NA,NA,NA,NA,NA,NA,NA
"41",62,"Clear","April","Available",NA,NA,"Riffle",16.23,"27.432",0,"Boulder",0.1,0.05,0,0,0,0,0.15,"Yes",34.538524,"111.684561",NA,"4/25/2022 21:38",NA,NA,NA,NA,NA,NA,NA,NA
"42",63,"Clear","April","Available",NA,NA,"Riffle",15.6,"45.72",0.54,"Boulder",0.3,0.1,0,0,0,0,0.4,"No",34.538633,"111.68424",NA,"4/25/2022 21:44",NA,NA,NA,NA,NA,NA,NA,NA
"43",66,"Clear","April","Available",NA,NA,"Riffle",14.32,"27.432",0.45,"Cobble",0,0,0,0.1,0,0,0.1,"Yes",34.538507,"111.684506",NA,"4/25/2022 21:39",NA,NA,NA,NA,NA,NA,NA,NA
"44",70,"Clear","April","Available",NA,NA,"Riffle",8,"48.768",0.76,"Boulder",0.5,0.15,0,0,0,0,0.65,"Yes",34.538642,"111.683248",NA,"4/26/2022 18:09",NA,NA,NA,NA,NA,NA,NA,NA
"45",71,"Clear","April","Available",NA,NA,"Riffle",12.3,"33.528",0.07,"Boulder",0.7,0,0,0,0,0,0.7,"No",34.328401,"111.682953",NA,"4/26/2022 18:31",NA,NA,NA,NA,NA,NA,NA,NA
"46",72,"Clear","April","Available",NA,NA,"Riffle",7.87,"30.48",0,"Boulder",0.3,0,0,0,0,0,0.3,"No",34.538364,"111.682871",NA,"4/26/2022 18:32",NA,NA,NA,NA,NA,NA,NA,NA
"47",75,"Clear","April","Available",NA,NA,"Riffle",6.53,"51.816",0.08,"Cobble",0.2,0,0,0,0,0,0.2,"Yes",34.538565,"111.683181",NA,"4/26/2022 18:13",NA,NA,NA,NA,NA,NA,NA,NA
"48",76,"Clear","April","Available",NA,NA,"Riffle",9.4,"15.24",0.17,"Boulder",0.4,0.1,0,0,0,0,0.5,"Yes",34.537559,"111.681955",NA,"4/26/2022 19:14",NA,NA,NA,NA,NA,NA,NA,NA
"49",77,"Clear","April","Available",NA,NA,"Riffle",8.2,"64.008",0.58,"Boulder",0.65,0,0,0,0,0,0.65,"Yes",34.537537,"111.681934",NA,"4/26/2022 19:17",NA,NA,NA,NA,NA,NA,NA,NA
"50",78,"Clear","April","Available",NA,NA,"Riffle",10.73,"39.624",0.24,"Boulder",0.7,0,0,0,0,0,0.7,"Yes",34.537047,"111.681397",NA,"4/26/2022 20:30",NA,NA,NA,NA,NA,NA,NA,NA
"51",79,"Clear","April","Available",NA,NA,"Riffle",12.89,"30.48",0.01,"Boulder",0.2,0,0,0,0,0,0.2,"Yes",34.536927,"111.681264",NA,"4/26/2022 20:47",NA,NA,NA,NA,NA,NA,NA,NA
"52",80,"Clear","April","Available",NA,NA,"Riffle",11.5,"33.528",0.03,"Boulder",0.3,0,0,0,0,0,0.3,"Yes",34.536881,"111.681124",NA,"4/26/2022 20:50",NA,NA,NA,NA,NA,NA,NA,NA
"53",82,"Clear","April","Available",NA,NA,"Riffle",13.1,"39.624",0.2,"Boulder",0.4,0,0,0,0,0,0.4,"Yes",34.536067,"111.679985",NA,"4/26/2022 21:41",NA,NA,NA,NA,NA,NA,NA,NA
"54",83,"Clear","April","Available",NA,NA,"Riffle",8.66,"18.288",0.39,"Boulder",0.8,0,0,0,0,0,0.8,"Yes",34.535995,"111.879845",NA,"4/26/2022 21:47",NA,NA,NA,NA,NA,NA,NA,NA
"55",84,"Clear","April","Available",NA,NA,"Riffle",7,"19.812",0.48,"Boulder",0.8,0.05,0,0,0,0,0.85,"Yes",34.53597,"111.679241",NA,"4/26/2022 22:19",NA,NA,NA,NA,NA,NA,NA,NA
"56",87,"Clear","April","Available",NA,NA,"Riffle",6.43,"12.192",0.05,"Cobble",0.05,0,0,0,0,0,0.05,"Yes",34.538151,"111.688289",NA,"4/25/2022 18:07",NA,NA,NA,NA,NA,NA,NA,NA
"57",89,"Clear","April","Available",NA,NA,"Riffle",6.3,"45.72",0.27,"Cobble",0.25,0,0,0,0,0,0.25,"Yes",34.538383,"111.688183",NA,"4/25/2022 18:29",NA,NA,NA,NA,NA,NA,NA,NA
"58",90,"Clear","April","Available",NA,NA,"Riffle",6.28,"12.192",0.35,"Cobble",0.1,0.3,0,0,0,0,0.4,"Yes",34.538301,"111.688069",NA,"4/25/2022 18:31",NA,NA,NA,NA,NA,NA,NA,NA
"59",91,"Clear","April","Available",NA,NA,"Riffle",11.33,"42.672",0.22,"Cobble",0.1,0,0,0,0,0,0.1,"Yes",34.537991,"111.68682",NA,"4/25/2022 20:02",NA,NA,NA,NA,NA,NA,NA,NA
"60",92,"Clear","April","Available",NA,NA,"Riffle",12.54,"50.292",0.24,"Cobble",0.1,0,0,0,0,0,0.1,"Yes",34.536116,"111.680084",NA,"4/26/2022 21:38",NA,NA,NA,NA,NA,NA,NA,NA
"61",93,"Clear","April","Available",NA,NA,"Riffle",17.01,"48.768",0.2,"Cobble",0,0,0,0,0,0,0,"No",34.538059,"111.686343",NA,"4/25/2022 20:18",NA,NA,NA,NA,NA,NA,NA,NA
"62",95,"Clear","April","Available",NA,NA,"Riffle",10.98,"50.292",0.02,"Cobble",0.1,0,0,0,0,0,0.1,"Yes",34.536004,"111.679756",NA,"4/26/2022 21:50",NA,NA,NA,NA,NA,NA,NA,NA
"63",96,"Clear","April","Available",NA,NA,"Riffle",14.56,"42.672",0.58,"Cobble",0.2,0,0,0,0,0,0.2,"No",34.538183,"111.685797",NA,"4/25/2022 20:39",NA,NA,NA,NA,NA,NA,NA,NA
"64",97,"Clear","April","Available",NA,NA,"Riffle",9.23,"38.1",0.77,"Cobble",0,0,0,0,0,0,0,"Yes",34.538221,"111.685756",NA,"4/25/2022 20:41",NA,NA,NA,NA,NA,NA,NA,NA
"65",98,"Clear","April","Available",NA,NA,"Riffle",14.84,"30.48",0,"Cobble",0.1,0,0,0,0,0,0.1,"Yes",34.536025,"111.67951",NA,"4/26/2022 21:57",NA,NA,NA,NA,NA,NA,NA,NA
"66",100,"Clear","April","Available",NA,NA,"Riffle",15.03,"41.148",0.45,"Cobble",0.25,0,0,0,0,0,0.25,"No",34.53828,"111.685366",NA,"4/25/2022 20:56",NA,NA,NA,NA,NA,NA,NA,NA
"67",101,"Clear","April","Available",NA,NA,"Riffle",13.64,"35.052",0.14,"Cobble",0.2,0,0,0,0,0,0.2,"Yes",34.538306,"111.685213",NA,"4/25/2022 21:00",NA,NA,NA,NA,NA,NA,NA,NA
"68",104,"Clear","April","Available",NA,NA,"Riffle",9.56,"54.864",0.29,"Cobble",0.3,0,0,0,0,0,0.3,"No",34.538339,"111.685019",NA,"4/25/2022 21:17",NA,NA,NA,NA,NA,NA,NA,NA
"69",105,"Clear","April","Available",NA,NA,"Riffle",7.35,"38.1",0.46,"Cobble",0.25,0.05,0,0,0,0,0.3,"No",34.538354,"111.684956",NA,"4/25/2022 21:20",NA,NA,NA,NA,NA,NA,NA,NA
"70",106,"Clear","April","Available",NA,NA,"Riffle",12.64,"41.148",0.23,"Cobble",0,0,0,0,0,0,0,"Yes",34.535988,"111.67918",NA,"4/26/2022 22:22",NA,NA,NA,NA,NA,NA,NA,NA
"71",107,"Clear","April","Available",NA,NA,"Riffle",9.77,"30.48",0.37,"Cobble",0.55,0,0,0,0,0,0.55,"Yes",34.535995,"111.67914",NA,"4/26/2022 22:25",NA,NA,NA,NA,NA,NA,NA,NA
"72",108,"Clear","April","Available",NA,NA,"Riffle",7.52,"35.052",0,"Cobble",0.3,0,0,0,0,0,0.3,"Yes",34.538728,"111.683595",NA,"4/26/2022 17:51",NA,NA,NA,NA,NA,NA,NA,NA
"73",109,"Clear","April","Available",NA,NA,"Riffle",6,"54.864",0.34,"Cobble",0.1,0,0,0,0,0,0.1,"No",34.538735,"111.683511",NA,"4/26/2022 17:56",NA,NA,NA,NA,NA,NA,NA,NA
"74",110,"Clear","April","Available",NA,NA,"Riffle",8.82,"59.436",0.05,"Cobble",0.2,0,0,0,0,0,0.2,"No",34.538715,"111.683449",NA,"4/26/2022 17:59",NA,NA,NA,NA,NA,NA,NA,NA
"75",111,"Clear","April","Available",NA,NA,"Riffle",7.5,"45.72",0.24,"Cobble",0.3,0,0,0,0,0,0.3,"No",34.538688,"111.683398",NA,"4/26/2022 18:01",NA,NA,NA,NA,NA,NA,NA,NA
"76",114,"Clear","April","Available",NA,NA,"Riffle",7.24,"33.528",0.95,"Cobble",0,0.1,0,0,0,0,0.1,"Yes",34.538592,"111.6832",NA,"4/26/2022 18:11",NA,NA,NA,NA,NA,NA,NA,NA
"77",116,"Clear","April","Available",NA,NA,"Riffle",11.3,"57.912",0.26,"Cobble",0.2,0,0,0,0,0,0.2,"No",34.538467,"111.683108",NA,"4/26/2022 18:15",NA,NA,NA,NA,NA,NA,NA,NA
"78",117,"Clear","April","Available",NA,NA,"Riffle",13.05,"25.908",0.02,"Cobble",0.3,0,0,0,0,0,0.3,"Yes",34.538442,"111.682992",NA,"4/26/2022 18:28",NA,NA,NA,NA,NA,NA,NA,NA
"79",118,"Clear","April","Available",NA,NA,"Riffle",12.6,"35.052",0.07,"Cobble",0.05,0,0,0,0,0,0.05,"Yes",34.53832,"111.6827",NA,"4/26/2022 18:37",NA,NA,NA,NA,NA,NA,NA,NA
"80",121,"Clear","April","Available",NA,NA,"Riffle",14.2,"42.672",0.14,"Cobble",0,0,0,0,0,0,0,"Yes",34.537122,"111.681593",NA,"4/26/2022 20:24",NA,NA,NA,NA,NA,NA,NA,NA
"81",122,"Clear","April","Available",NA,NA,"Riffle",12.27,"27.432",0.03,"Cobble",0.15,0,0,0,0,0,0.15,"Yes",34.537086,"111.681473",NA,"4/26/2022 20:27",NA,NA,NA,NA,NA,NA,NA,NA
"82",123,"Clear","April","Available",NA,NA,"Riffle",11.4,"57.912",0.04,"Cobble",0.25,0,0,0,0,0,0.25,"Yes",34.53702,"111.681451",NA,"4/26/2022 20:29",NA,NA,NA,NA,NA,NA,NA,NA
"83",128,"Clear","April","Available",NA,NA,"Riffle",12.4,"51.816",0,"Gravel",0.2,0,0,0,0,0,0.2,"Yes",34.537344,"111.681728",NA,"4/26/2022 19:24",NA,NA,NA,NA,NA,NA,NA,NA
"84",129,"Clear","April","Available",NA,NA,"Riffle",13.2,"42.672",0.52,"Cobble",0.1,0.05,0,0,0,0,0.15,"Yes",34.536829,"111.671083",NA,"4/26/2022 20:54",NA,NA,NA,NA,NA,NA,NA,NA
"85",130,"Clear","April","Available",NA,NA,"Riffle",10.12,"35.052",0.07,"Cobble",0,0,0,0,0,0,0,"Yes",34.536791,"111.68106",NA,"4/26/2022 20:56",NA,NA,NA,NA,NA,NA,NA,NA
"86",132,"Clear","April","Available",NA,NA,"Riffle",12.4,"44.196",0,"Gravel",0.2,0,0,0,0,0,0.2,"Yes",34.536886,"111.681226",NA,"4/26/2022 20:49",NA,NA,NA,NA,NA,NA,NA,NA
"87",136,"Clear","April","Available",NA,NA,"Riffle",12.11,"19.812",0.07,"Cobble",0.3,0,0,0,0,0,0.3,"Yes",34.535984,"111.679704",NA,"4/26/2022 21:52",NA,NA,NA,NA,NA,NA,NA,NA
"88",137,"Clear","April","Available",NA,NA,"Riffle",11.49,"42.672",0.12,"Cobble",0,0,0,0,0,0,0,"Yes",34.536019,"111.67966",NA,"4/26/2022 21:54",NA,NA,NA,NA,NA,NA,NA,NA
"89",139,"Clear","April","Available",NA,NA,"Riffle",11.01,"25.908",0.04,"Cobble",0.1,0,0,0,0,0,0.1,"Yes",34.536005,"111.679466","rip sams sunglasses:(","4/26/2022 22:01",NA,NA,NA,NA,NA,NA,NA,NA
"90",144,"Clear","April","Available",NA,NA,"Riffle",10.01,"24.384",0.21,"Cobble",0,0,0,0,0,0,0,"Yes",34.535976,"111.679271",NA,"4/26/2022 22:17",NA,NA,NA,NA,NA,NA,NA,NA
"91",145,"Clear","April","Available",NA,NA,"Riffle",10.84,"30.48",0,"Cobble",0.3,0,0,0,0,0,0.3,"Yes",34.535977,"111.679192",NA,"4/26/2022 22:20",NA,NA,NA,NA,NA,NA,NA,NA
"92",149,"Clear","April","Available",NA,NA,"Riffle",12.13,"36.576",0.23,"Cobble",0,0,0,0,0,0,0,"Yes",34.535957,"111.678933",NA,"4/26/2022 22:30",NA,NA,NA,NA,NA,NA,NA,NA
"93",150,"Clear","April","Available",NA,NA,"Riffle",15.54,"21.336",0.12,"Cobble",0,0,0.05,0,0,0,0.05,"Yes",34.535885,"111.678874",NA,"4/26/2022 22:32",NA,NA,NA,NA,NA,NA,NA,NA
"94",152,"Clear","April","Available",NA,NA,"Riffle",11.97,"33.528",0.29,"Sand",0.05,0,0,0,0,0,0.05,"Yes",34.538171,"111.685867",NA,"4/25/2022 20:37",NA,NA,NA,NA,NA,NA,NA,NA
"95",155,"Clear","April","Available",NA,NA,"Riffle",6.73,"9.144",0.05,"Pebble",0.05,0,0,0,0,0,0.05,"Yes",34.538198,"111.688699",NA,"4/25/2022 17:54",NA,NA,NA,NA,NA,NA,NA,NA
"96",159,"Clear","April","Available",NA,NA,"Riffle",5,"18.288",0.22,"Pebble",0.15,0,0,0,0,0,0.15,"Yes",34.538501,"111.688657",NA,"4/25/2022 18:23",NA,NA,NA,NA,NA,NA,NA,NA
"97",164,"Clear","April","Available",NA,NA,"Riffle",9.99,"33.528",0.46,"Pebble",0.15,0,0,0,0,0,0.15,"No",34.538595,"111.684344",NA,"4/25/2022 21:43",NA,NA,NA,NA,NA,NA,NA,NA
"98",165,"Clear","April","Available",NA,NA,"Riffle",11.8,"33.528",0.24,"Pebble",0,0,0,0,0,0,0,"Yes",34.325981,"111.679414",NA,"4/26/2022 22:05",NA,NA,NA,NA,NA,NA,NA,NA
"99",167,"Clear","April","Available",NA,NA,"Riffle",14.9,"12.192",0.11,"Pebble",0.1,0,0,0,0,0,0.1,"Yes",34.538392,"111.682757",NA,"4/26/2022 18:35",NA,NA,NA,NA,NA,NA,NA,NA
"100",168,"Clear","April","Available",NA,NA,"Riffle",12,"24.384",0,"Pebble",0.2,0,0,0,0,0,0.2,"Yes",34.538218,"111.682698",NA,"4/26/2022 18:40",NA,NA,NA,NA,NA,NA,NA,NA
"101",169,"Clear","April","Available",NA,NA,"Riffle",13.8,"39.624",0.06,"Gravel",0.25,0,0,0,0,0,0.25,"Yes",34.537217,"111.681673",NA,"4/26/2022 20:22",NA,NA,NA,NA,NA,NA,NA,NA
"102",170,"Clear","April","Available",NA,NA,"Riffle",13.7,"36.576",0,"Gravel",0.15,0,0,0,0,0,0.15,"Yes",34.537038,"111.681407",NA,"4/26/2022 20:32",NA,NA,NA,NA,NA,NA,NA,NA
"103",172,"Clear","April","Available",NA,NA,"Riffle",9.63,"33.528",0.05,"Pebble",0.1,0,0,0,0,0,0.1,"Yes",34.536753,"111.681019",NA,"4/26/2022 20:57",NA,NA,NA,NA,NA,NA,NA,NA
"104",174,"Clear","April","Available",NA,NA,"Riffle",15.87,"27.432",0.21,"Pebble",0.25,0,0,0,0,0,0.25,"Yes",34.536694,"111.680819",NA,"4/26/2022 21:01",NA,NA,NA,NA,NA,NA,NA,NA
"105",177,"Clear","April","Available",NA,NA,"Riffle",14.13,"15.24",0.15,"Gravel",0.3,0,0,0,0,0,0.3,"Yes",34.536027,"111.679758",NA,"4/26/2022 21:49",NA,NA,NA,NA,NA,NA,NA,NA
"106",179,"Clear","April","Available",NA,NA,"Riffle",10.19,"18.288",0.49,"Gravel",0.2,0,0,0,0,0,0.2,"Yes",34.535942,"111.67901",NA,"4/26/2022 22:28",NA,NA,NA,NA,NA,NA,NA,NA
"107",192,"Clear","April","Available",NA,NA,"Riffle",15.69,"27.432",0.08,"Sand",0,0,0,0,0,0,0,"Yes",34.538161,"111.686142",NA,"4/25/2022 20:28",NA,NA,NA,NA,NA,NA,NA,NA
"108",193,"Clear","April","Available",NA,NA,"Riffle",5,"9.144",0.03,"Pebble",0.6,0,0,0,0,0,0.6,"Yes",34.538236,"111.688924",NA,"4/25/2022 17:48",NA,NA,NA,NA,NA,NA,NA,NA
"109",194,"Clear","April","Available",NA,NA,"Riffle",6.05,"21.336",0.05,"Pebble",0.1,0,0,0,0,0,0.1,"Yes",34.538225,"111.688758",NA,"4/25/2022 17:50",NA,NA,NA,NA,NA,NA,NA,NA
"110",196,"Clear","April","Available",NA,NA,"Riffle",11.5,"30.48",0,"Pebble",0.1,0,0,0,0,0,0.1,"Yes",34.537228,"111.681632",NA,"4/26/2022 20:23",NA,NA,NA,NA,NA,NA,NA,NA
"111",197,"Clear","April","Available",NA,NA,"Riffle",12.1,"19.812",0,"Pebble",0.15,0,0,0,0,0,0.15,"No",34.538147,"111.688372",NA,"4/25/2022 18:05",NA,NA,NA,NA,NA,NA,NA,NA
