ObjectID,Stream,Creation Date,Site Type ,Tag Number,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth (cm),Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,Data Changes
21,Wet Beaver,11/18/2022 18:59,Available,NA,7.8,Run,,46,0.05,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.674065,111.671497,,-111.67159,34.67402268,
22,Wet Beaver,11/18/2022 19:30,Available,NA,4.9,Riffle,,42,0,Cobble,.10,.00,.00,.00,.00,.00,No,Yes,34.674058,111.671415,,-111.6715375,34.67396159,
23,Wet Beaver,11/18/2022 19:32,Available,NA,4.7,Riffle,,18,0.07,Pebble,.05,.00,.00,.00,.00,.00,No,Yes,34.674030,111.671358,,-111.6714669,34.67402299,
24,Wet Beaver,11/18/2022 19:35,Occupied,143,8,Riffle,,26,0,Gravel,.05,.00,.00,.00,.00,.00,No,No,34.673992,111.671281,,-111.6713054,34.67397729,143 is recorded as tagged in West Clear but was seen in Wet Beaver in May and September and no recordings in West Clear
25,Wet Beaver,11/18/2022 19:36,Available,NA,8.9,Riffle,,28,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673971,111.671271,,-111.6713083,34.67396209,
26,Wet Beaver,11/18/2022 19:37,Available,NA,11.4,Riffle,,35,0.0,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673969,111.671133,,-111.6712779,34.67402431,
27,Wet Beaver,11/18/2022 19:39,Available,NA,13.2,Riffle,,20,0.52,Pebble,.10,.05,.00,.00,.00,.00,No,Yes,34.673937,111.671074,,-111.6711625,34.67399545,
28,Wet Beaver,11/18/2022 19:40,Available,NA,11.9,Riffle,,24,0.08,Boulder,.10,.00,.00,.00,.00,.00,No,Yes,34.673979,111.671007,,-111.6710819,34.67400436,
29,Wet Beaver,11/18/2022 19:42,Available,NA,12.2,Pool,,39,0.04,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.674030,111.670903,,-111.6709683,34.6739579,
30,Wet Beaver,11/18/2022 19:43,Available,NA,14.7,Pool,,68,0.02,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.674009,111.670812,,-111.6708941,34.67399186,
31,Wet Beaver,11/18/2022 19:45,Available,NA,14.2,Pool,,93,0.01,Gravel,.00,.00,.00,.00,.00,.00,No,Yes,34.674002,111.670702,,-111.6708428,34.67406448,
32,Wet Beaver,11/18/2022 19:47,Available,NA,15.2,Pool,,113,0,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.673978,111.670742,,-111.6707313,34.67406626,
33,Wet Beaver,11/18/2022 19:49,Available,NA,14.6,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,Yes,34.673986,111.670582,,-111.670639,34.67404296,
34,Wet Beaver,11/18/2022 19:51,Occupied,114,15.7,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,Yes,34.673982,111.670557,Middle of pool,-111.6705366,34.67403233,
35,Wet Beaver,11/18/2022 19:53,Available,NA,14.1,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,,34.673908,111.670528,,-111.6705497,34.67396125,
36,Wet Beaver,11/18/2022 19:55,Available,NA,13.2,Pool,,20,0.02,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673861,111.670509,,-111.6704996,34.67398204,
37,Wet Beaver,11/18/2022 19:56,Available,NA,9.7,Pool,,>150,Na,Silt,.00,.00,.00,.00,.00,.00,No,NA,34.673816,111.670425,,-111.6704221,34.67396008,
38,Wet Beaver,11/18/2022 19:58,Available,NA,4.3,Run,,56,0.10,Bedrock,.00,.00,.00,.00,.00,.00,No,Yes,34.673811,111.670324,,-111.6703482,34.67397858,
39,Wet Beaver,11/18/2022 20:02,Available,NA,5.5,Run,,13,0.08,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673838,111.670210,,-111.6701274,34.67398439,
40,Wet Beaver,11/18/2022 20:03,Available,NA,5.1,Run,,84,0,Silt,.00,.00,.00,.00,.00,.00,No,No,34.673856,111.670075,,-111.6701412,34.67395809,
41,Wet Beaver,11/18/2022 20:04,Available,NA,3.4,Riffle,,28,0.18,Bedrock,.10,.00,.00,.00,.00,.00,No,No,34.673856,111.679984,,-111.6700279,34.67392838,
42,Wet Beaver,11/18/2022 20:06,Available,NA,3.8,Riffle,,22,0.49,Pebble,.15,.05,.00,.00,.00,.00,No,No,34.673841,111.669919,,-111.6699891,34.67386937,
43,Wet Beaver,11/18/2022 20:08,Available,NA,4.9,Riffle,,32,0.24,Pebble,.05,.00,.00,.00,.00,.00,No,Yes,34.673805,111.669819,,-111.6698844,34.67388674,
44,Wet Beaver,11/18/2022 20:10,Available,NA,8,Riffle,,26,0.08,Gravel,.20,.00,.00,.00,.00,.00,No,Yes,34.673773,111.679736,,-111.6698696,34.67383565,
45,Wet Beaver,11/18/2022 20:11,Available,NA,7.2,Riffle,,26,0.01,Gravel,.10,.00,.00,.00,.00,.00,No,Yes,34.673724,111.669679,,-111.6697951,34.67379611,
46,Wet Beaver,11/18/2022 20:12,Occupied,124,6.6,Riffle,,22,0.20,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.673694,111.669582,,-111.6696946,34.67381769,
47,Wet Beaver,11/18/2022 20:14,Occupied,113,7.5,Riffle,,18,0.08,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.673705,111.669564,,-111.669612,34.67379227,
48,Wet Beaver,11/18/2022 20:16,Available,NA,7.5,Riffle,,26,0.01,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673699,111.669556,,-111.6696791,34.67369309,
49,Wet Beaver,11/18/2022 20:17,Available,NA,6.9,Riffle,,26,0.05,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673595,111.669507,,-111.6695928,34.67371152,
50,Wet Beaver,11/18/2022 20:21,Available,NA,9.4,Riffle,,10,0.36,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.673564,111.669427,,-111.6695,34.67369536,
51,Wet Beaver,11/18/2022 20:22,Available,NA,10.5,Pool,,64,0.02,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673492,111.669421,,-111.6694424,34.67360539,
52,Wet Beaver,11/18/2022 20:24,Available,NA,12.7,Pool,,90,0.09,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.673510,111.669288,,-111.6693507,34.67359055,
53,Wet Beaver,11/18/2022 20:25,Available,NA,11.4,Pool,,66,0,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673442,111.669266,,-111.6692341,34.67358908,
54,Wet Beaver,11/18/2022 20:27,Available,NA,6.6,Pool,,33,0.07,Boulder,.25,.00,.00,.00,.00,.00,No,Yes,34.673396,111.669168,,-111.6692432,34.67348759,
55,Wet Beaver,11/18/2022 20:29,Available,NA,7.4,Pool,,28,0,Pebble,.10,.00,.00,.00,.00,.00,No,Yes,34.673394,111.669122,,-111.6692596,34.67341858,
56,Wet Beaver,11/18/2022 20:30,Occupied,120,7.4,Pool,,50,0.04,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673376,111.669133,,-111.6691516,34.67342351,
57,Wet Beaver,11/18/2022 20:33,Available,NA,7.6,Run,,40,0.05,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673309,111.669066,,-111.669085,34.6733531,
58,Wet Beaver,11/18/2022 20:35,Available,NA,8.1,Run,,64,0.02,Boulder,.30,.00,.00,.00,.00,.00,No,,34.673295,111.668997,,-111.6690383,34.6733718,
59,Wet Beaver,11/18/2022 20:37,Occupied,121,8,Run,,72,0.02,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673296,111.668984,,-111.6689892,34.67330417,
60,Wet Beaver,11/18/2022 20:40,Available,NA,7.2,Riffle,,42,0.0,Boulder,.35,.00,.00,.00,.00,.00,No,No,34.673244,111.668899,,-111.6689264,34.67323915,
61,Wet Beaver,11/18/2022 20:40,Available,NA,5,Riffle,,22,0.16,Pebble,.10,.00,.00,.00,.00,.00,No,No,34.673232,111.668847,,-111.6689246,34.67324169,
62,Wet Beaver,11/18/2022 20:42,Available,NA,5.6,Riffle,,20,0.17,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673155,111.668781,,-111.6688716,34.67318442,
63,Wet Beaver,11/18/2022 20:43,Available,NA,9.3,Riffle,,34,0,Cobble,.30,.00,.00,.00,.00,.00,No,No,34.673125,111.668703,,-111.6687824,34.67316736,
64,Wet Beaver,11/18/2022 20:45,Available,NA,5.5,Riffle,,43,0.22,Boulder,.40,.00,.00,.00,.00,.00,No,No,34.673107,111.668638,,-111.6687509,34.67308809,
65,Wet Beaver,11/18/2022 20:47,Available,NA,6.1,Riffle,,34,0.22,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673058,111.668590,,-111.6686115,34.6731025,
66,Wet Beaver,11/18/2022 20:49,Occupied,108,5.1,Riffle,,32,0.32,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673061,111.668583,,-111.6685946,34.67307379,
67,Wet Beaver,11/18/2022 20:51,Available,NA,9.5,Pool,,63,0.06,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673037,111.668489,,-111.6685497,34.67305014,
68,Wet Beaver,11/18/2022 20:54,Available,NA,10.2,Pool,,60,0.01,Pebble,.15,.00,.00,.00,.00,.00,No,No,34.672984,111.668428,,-111.6684425,34.67297679,
69,Wet Beaver,11/18/2022 20:55,Available,NA,10.3,Pool,,26,0.0,Silt,.00,.00,.00,.00,.00,.00,No,No,34.672900,111.668372,,-111.6684501,34.67297401,
70,Wet Beaver,11/18/2022 20:56,Available,NA,8.8,Pool,,36,0,Silt,.00,.00,.00,.00,.00,.00,No,No,34.672843,111.668263,,-111.6683852,34.67298558,
71,Wet Beaver,11/18/2022 20:59,Available,NA,8.1,Pool,,40,0.01,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672827,111.668202,,-111.6683617,34.6728429,
72,Wet Beaver,11/18/2022 21:01,Occupied,125,6.9,Pool,,62,0.04,Pebble,.10,.00,.00,.00,.00,.00,No,Yes,34.672793,111.668916,,-111.6682819,34.67283493,
73,Wet Beaver,11/18/2022 21:07,Available,NA,6.1,Riffle,,52,0,Cobble,.15,.00,.00,.00,.00,.00,No,Yes,34.672791,111.668164,,-111.6682241,34.67283025,
74,Wet Beaver,11/18/2022 21:09,Available,NA,4.8,Riffle,,16,0.44,Boulder,.25,.10,.00,.00,.00,.00,No,Yes,34.672776,111.668077,,-111.6681679,34.67278345,
75,Wet Beaver,11/18/2022 21:10,Available,NA,5.1,Riffle,,33,0.13,Cobble,.10,.15,.00,.00,.00,.00,No,Yes,34.672762,111.668065,,-111.6681076,34.67275196,
76,Wet Beaver,11/18/2022 21:12,Available,NA,7.6,Riffle,,13,0.61,Boulder,.55,.00,.00,.00,.00,.00,No,No,34.672663,111.667991,,-111.6680582,34.67265007,
77,Wet Beaver,11/18/2022 21:14,Available,NA,10.1,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,No,34.672603,111.667870,,-111.6680189,34.67264758,
78,Wet Beaver,11/18/2022 21:16,Available,NA,9.9,Pool,,>150,Na,Silt,.00,.00,.00,.00,.00,.00,No,,34.672596,111.667821,,-111.6678879,34.67256734,
79,Wet Beaver,11/18/2022 21:17,Available,NA,11.4,Pool,,>150,Na,Silt,.00,.00,.00,.00,.00,.00,No,No,34.672475,111.667719,,-111.6677922,34.67258122,
80,Wet Beaver,11/18/2022 21:19,Available,NA,10.4,Pool,,>150,na,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.672465,111.667674,,-111.6677136,34.67253935,
81,Wet Beaver,11/18/2022 21:21,Available,NA,5.2,Riffle,,44,0.0,Boulder,.35,.00,.00,.00,.00,.00,No,Yes,34.672431,111.667607,,-111.6676072,34.67244664,
82,Wet Beaver,11/18/2022 21:22,Available,NA,5.3,Riffle,,54,0.34,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.672449,111.66747,,-111.6676123,34.67248523,
83,Wet Beaver,11/18/2022 21:24,Available,NA,3.5,Riffle,,38,0.33,Cobble,.15,.05,.00,.00,.00,.00,No,No,34.672464,111.667371,,-111.6675398,34.67244246,
84,Wet Beaver,11/18/2022 21:25,Available,NA,7.3,Riffle,,13,0.04,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.672454,111.667323,,-111.6674585,34.67246836,
85,Wet Beaver,11/18/2022 21:27,Available,NA,11.2,Riffle,,14,0.17,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.672469,111.667228,,-111.667362,34.67250089,
86,Wet Beaver,11/18/2022 21:28,Available,NA,13.4,Riffle,,20,0.03,Pebble,.05,.00,.00,.00,.00,.00,No,Yes,34.672485,111.667186,,-111.6673191,34.67249006,
87,Wet Beaver,11/18/2022 21:29,Occupied,148,8.7,Riffle,,25,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672481,111.667133,,-111.6672555,34.67244478,
88,Wet Beaver,11/18/2022 21:32,Available,NA,9,Riffle,,34,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672479,111.667130,,-111.6672,34.67257766,
89,Wet Beaver,11/18/2022 21:33,Available,NA,8.6,Riffle,,46,0.02,Pebble,.10,.00,.00,.00,.00,.00,No,Yes,34.672527,111.667073,,-111.6671849,34.67256473,
90,Wet Beaver,11/18/2022 21:34,Available,NA,7.8,Run,,63,0.06,Boulder,.15,.00,.00,.00,.00,.00,No,,34.672569,111.667013,,-111.6671298,34.67259008,
91,Wet Beaver,11/18/2022 21:35,Available,NA,5.3,Run,,23,0.11,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672609,111.666959,,-111.6670569,34.67260706,
92,Wet Beaver,11/18/2022 21:37,Available,NA,6,Riffle,,16,0.23,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.672628,111.666885,,-111.6669365,34.67266011,
93,Wet Beaver,11/18/2022 21:38,Available,NA,3.7,Riffle,,34,0.30,Cobble,.10,.20,.00,.00,.00,.00,No,No,34.6722694,111.666803,,-111.6668977,34.67269395,
94,Wet Beaver,11/18/2022 21:42,Available,NA,3.4,Riffle,,52,0.09,Boulder,.20,.00,.00,.00,.00,.00,No,Yes,34.672747,111.666710,,-111.6668191,34.67273673,
95,Wet Beaver,11/18/2022 21:44,Available,NA,3.6,Riffle,,19,0.0,Cobble,.10,.25,.00,.00,.00,.00,No,Yes,34.672774,111.666638,,-111.666734,34.67272032,
96,Wet Beaver,11/18/2022 21:47,Available,NA,4.9,Riffle,,17,0.03,Cobble,.10,.00,.00,.00,.00,.00,No,No,34.672820,111.666590,,-111.6666894,34.67282736,
97,Wet Beaver,11/18/2022 21:49,Available,NA,9.2,Pool,,70,0.03,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.672911,111.666577,,-111.6666035,34.67289752,
98,Wet Beaver,11/18/2022 21:52,Available,NA,5.2,Pool,,71,0.0,Bedrock,.00,.00,.00,.00,.00,.00,No,Yes,34.672975,111.666512,,-111.6666005,34.67297289,
99,Wet Beaver,11/18/2022 21:55,Occupied,152,4.2,Run,,30,0.06,Boulder,.30,.00,.00,.00,.00,.00,No,No,34.673022,111.666434,,-111.6665374,34.67306341,
100,Wet Beaver,11/18/2022 21:59,Available,NA,5.4,Riffle,,32,0.13,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673026,111.666419,,-111.6664907,34.67308596,
101,Wet Beaver,11/18/2022 22:01,Available,NA,4.5,Riffle,,30,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673063,111.666350,,-111.6664564,34.67309054,
102,Wet Beaver,11/18/2022 22:03,Occupied,154,4.4,Riffle,,40,0.07,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673096,111.666298,,-111.6663392,34.6731786,
103,Wet Beaver,11/18/2022 22:05,Available,NA,4.2,Riffle,,29,0.02,Pebble,.20,.00,.00,.00,.00,.00,No,No,34.673121,111.666263,,-111.6663165,34.6731696,
104,Wet Beaver,11/18/2022 22:06,Occupied,153,4.2,Riffle,,44,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673145,111.666257,,-111.6663063,34.67316082,Removed Available
105,Wet Beaver,11/18/2022 22:07,Occupied,159,4.2,Riffle,,27,0.05,Pebble,.00,.00,.00,.00,.00,.00,No,,34.673137,111.666236,,-111.6662529,34.67313713,"Changed to 159, 157 not a WB tag, definitely taken in WB "
106,Wet Beaver,11/18/2022 22:09,Available,NA,5,Riffle,,26,0.06,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673171,111.666214,,-111.6662786,34.67314369,
107,Wet Beaver,11/18/2022 22:10,Available,NA,4.7,Riffle,,26,0.26,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673225,111.666128,,-111.6663113,34.67319811,
108,Wet Beaver,11/18/2022 22:12,Available,NA,8.6,Pool,,37,0.0,Silt,.00,.00,.00,.00,.00,.00,No,No,34.673154,111.666098,,-111.6662414,34.67318713,
109,Wet Beaver,11/18/2022 22:14,Available,NA,7.3,Pool,,64,0.04,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673119,111.666206,,-111.6660631,34.67317568,
110,Wet Beaver,11/18/2022 22:17,Available,NA,7.8,Pool,,82,0,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673086,111.666272,,-111.6661767,34.67314642,
111,Wet Beaver,11/18/2022 22:19,Available,NA,7.4,Pool,,42,0.02,Cobble,.00,.00,.00,.00,.00,.00,No,,34.673059,111.666365,,-111.6662745,34.67306675,
112,Wet Beaver,11/18/2022 22:22,Available,NA,3.2,Riffle,,30,0.15,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673032,111.666431,,-111.6663448,34.67305591,
113,Wet Beaver,11/18/2022 22:24,Available,NA,3.9,Riffle,,29,0.07,Boulder,.15,.00,.00,.00,.00,.00,No,No,34.673003,111.666469,,-111.6664286,34.67297763,
