ObjectID,Stream ,Creation Date,Site Type ,Tag Number,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth (cm),Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,NA,Canopy Cover,Longitude (N),Latitude (W),,x,y,Notes,Data Changes
519,Wet Beaver,10/21/2022 5:27,Occupied,135,8.98,Pool,,62,0.0,Boulder,.20,.00,.00,.00,.00,.00,No,No,34.673009,111.666620,,-111.6721633,34.67427759,,
443,Wet Beaver,10/21/2022 19:17,Occupied,143,4.7,Riffle,,64,0.13,Boulder,.35,.00,.00,.00,.00,.00,No,Yes,34.673991,111.671430,,-111.6722304,34.67416904,,
501,Wet Beaver,10/21/2022 23:44,Occupied,148,15.17,Riffle,,11,0.72,Boulder,.50,.20,.00,.20,.00,.00,No,Yes,34.672294,111.667206,,-111.672165,34.67416008,,
513,Wet Beaver,10/21/2022 5:16,Occupied,151,5.32,Pool,,26,0.11,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673138,111.666309,,-111.6720624,34.67411626,Added NA in canopy cover ,
514,Wet Beaver,10/21/2022 5:19,Occupied,152,7.23,Pool,,30,0.12,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673132,111.666303,,-111.6720764,34.67408002,,
517,Wet Beaver,10/21/2022 5:24,Occupied,153,8.67,Pool,,77,0.10,Bedrock,.00,.00,.00,.00,.00,.00,No,Yes,34.673063,111.666502,,-111.6719793,34.67408794,,
516,Wet Beaver,10/21/2022 5:23,Occupied,154,8.32,Pool,,73,0.08,Bedrock,.00,.00,.00,.00,.00,.00,No,Yes,34.673049,111.666538,,-111.6718217,34.67406774,,
451,Wet Beaver,10/21/2022 19:37,Occupied,159,14.5,Pool,,44,0,Pebble,.00,.00,.00,.35,.00,.00,No,Yes,34.673959,111.670746,,-111.6717893,34.67405903,,
421,Wet Beaver,10/21/2022 18:36,Available,NA,4.8,Pool,,97,0.05,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.674865,111.672400,,-111.6716086,34.67406773,,
422,Wet Beaver,10/21/2022 18:40,Available,NA,4.5,Pool,,76,0,Gravel,.00,.00,.00,.00,.00,.00,No,No,34.674801,111.672386,,-111.6716005,34.67407964,,
423,Wet Beaver,10/21/2022 18:42,Available,NA,6.2,Riffle,,8,0,Pebble,.10,.00,.00,.00,.00,.00,No,Yes,34.534680,111.682334,,-111.6715729,34.67406369,,
424,Wet Beaver,10/21/2022 18:44,Available,NA,3.6,Riffle,,32,0.16,Cobble,.00,.10,.00,.00,.00,.00,No,Yes,34.674553,111.672306,,-111.6715158,34.67403124,,
425,Wet Beaver,10/21/2022 18:46,Available,NA,3.6,Riffle,,16,0.11,Cobble,.05,.00,.00,.00,.00,.00,No,Yes,34.674464,111.672308,,-111.6714091,34.67403508,,
426,Wet Beaver,10/21/2022 18:47,Available,NA,7.8,Pool,,24,0.06,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.674417,111.672303,,-111.6713576,34.67399835,,
427,Wet Beaver,10/21/2022 18:49,Available,NA,10.7,Pool,,45,0.03,Pebble,.00,.00,.00,.05,.00,.00,No,Yes,34.674335,111.672269,,-111.6713426,34.67398863,,
428,Wet Beaver,10/21/2022 18:50,Available,NA,14.8,Pool,,100,0.02,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.674327,111.672254,,-111.6712488,34.6740377,,
429,Wet Beaver,10/21/2022 18:52,Available,NA,13.6,Pool,,93,0,Silt,.00,.00,.00,.00,.00,.00,No,NA,34.674276,111.672157,,-111.6711603,34.67399612,,
431,Wet Beaver,10/21/2022 18:55,Available,NA,15.1,Pool,,>150,Na,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.674218,111.672107,,-111.6711038,34.67401053,,
432,Wet Beaver,10/21/2022 18:57,Available,NA,20.7,Pool,,55,0.0,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.674208,111.672088,,-111.6709449,34.67397887,,
433,Wet Beaver,10/21/2022 18:59,Available,NA,12.5,Pool,,16,0.0,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.674119,111.671914,,-111.6708869,34.67399488,,
434,Wet Beaver,10/21/2022 19:00,Available,NA,8.9,Pool,,23,0.01,Cobble,.05,.00,.00,.00,.00,.00,No,NA,34.674062,111.671921,,-111.6708113,34.67402118,"Probs dead, didnt move",
435,Wet Beaver,10/21/2022 19:02,Available,NA,7.9,Run,,49,0.15,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.674004,111.671899,,-111.670804,34.67398536,,
436,Wet Beaver,10/21/2022 19:04,Available,NA,8.8,Run,,32,0.03,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.674074,111.671841,,-111.6707518,34.67408666,,
437,Wet Beaver,10/21/2022 19:05,Available,NA,5.9,Riffle,,36,0.04,Pebble,.05,.00,.00,.00,.00,.00,No,Yes,34.674023,111.671734,,-111.6706711,34.6740537,,
438,Wet Beaver,10/21/2022 19:07,Available,NA,7.7,Riffle,,15,0,Pebble,.15,.00,.00,.00,.00,.00,No,Yes,34.673975,111.671655,,-111.6706881,34.67405049,,
439,Wet Beaver,10/21/2022 19:09,Available,NA,7.3,Run,,65,0.09,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673967,111.671576,,-111.670581,34.67399252,,
441,Wet Beaver,10/21/2022 19:12,Available,NA,7.4,Riffle,,33,0.21,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673992,111.671506,,-111.6705521,34.67394647,,
442,Wet Beaver,10/21/2022 19:14,Available,NA,4.4,Riffle,,45,0,Cobble,.10,.00,.00,.00,.00,.00,No,Yes,34.673942,111.671405,,-111.6704144,34.673956,,
444,Wet Beaver,10/21/2022 19:19,Available,NA,5.8,Riffle,,29,0.20,Pebble,.05,.00,.00,.00,.00,.00,No,Yes,34.674103,111.671322,,-111.670222,34.67395673,,
445,Wet Beaver,10/21/2022 19:21,Available,NA,9.6,Riffle,,22,0.36,Pebble,.05,.00,.00,.00,.00,.00,No,No,34.674058,111.671264,,-111.6702213,34.67395088,,
446,Wet Beaver,10/21/2022 19:23,Available,NA,12.3,Riffle,,18,0.03,Pebble,.10,.00,.00,.00,.00,.00,No,Yes,34.673927,111.671168,,-111.6701277,34.67395207,,
447,Wet Beaver,10/21/2022 19:25,Available,NA,12.3,Riffle,,15,0.05,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.673996,111.671060,,-111.6701029,34.67389441,,
448,Wet Beaver,10/21/2022 19:26,Available,NA,13,Riffle,,29,0.01,Pebble,.05,.00,.00,.00,.00,.00,No,Yes,34.673975,111.670966,,-111.6700447,34.67390446,,
449,Wet Beaver,10/21/2022 19:28,Available,NA,14.2,Riffle,,28,0.16,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673915,111.670911,,-111.6699828,34.67388973,,
450,Wet Beaver,10/21/2022 19:35,Available,NA,14.5,Pool,,27,0,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.673936,111.670786,,-111.6697763,34.67385271,,
452,Wet Beaver,10/21/2022 19:39,Available,NA,15.8,Pool,,81,0.0,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.673988,111.670737,,-111.6697339,34.67382403,,
454,Wet Beaver,10/21/2022 19:44,Available,NA,15.6,Pool,,127,0.01,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.674046,111.670535,,-111.6696971,34.67378986,,
455,Wet Beaver,10/21/2022 19:45,Available,NA,14.7,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,Yes,34.673985,111.670556,,-111.6696583,34.67371159,,
456,Wet Beaver,10/21/2022 19:48,Available,NA,12.4,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,Yes,34.673959,111.670455,,-111.6695646,34.67372018,,
457,Wet Beaver,10/21/2022 19:49,Available,NA,14.6,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,No,34.673950,111.670409,,-111.6694595,34.67365736,,
458,Wet Beaver,10/21/2022 19:51,Available,NA,8,Pool,,24,0.05,Bedrock,.00,.00,.00,.00,.00,.00,No,Yes,34.673913,111.670303,,-111.6693835,34.67361519,,
459,Wet Beaver,10/21/2022 19:56,Available,NA,4.13,Riffle,,8,0,Bedrock,.00,.00,.00,.00,.00,.00,No,Yes,34.673932,111.670217,,-111.6692767,34.67361824,,
460,Wet Beaver,10/21/2022 19:56,Available,NA,4.4,Run,,68,0.21,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.673908,111.670180,,-111.6692146,34.6735473,,
462,Wet Beaver,10/21/2022 19:59,Available,NA,5.4,Run,,82,0,Gravel,.00,.00,.00,.00,.00,.00,No,No,34.673886,111.670086,,-111.6691838,34.67349495,,
463,Wet Beaver,10/21/2022 20:01,Available,NA,4.2,Riffle,,22,0.34,Bedrock,.00,.00,.00,.00,.00,.00,No,Yes,34.673903,111.669971,,-111.6692021,34.67347617,,
464,Wet Beaver,10/21/2022 20:03,Available,NA,4.75,Riffle,,18,0.52,Boulder,.60,.05,.00,.00,.00,.00,No,Yes,34.664674,111.684624,,-111.6691243,34.67339559,,
465,Wet Beaver,10/21/2022 22:03,Available,NA,6.57,Riffle,,20,0.26,Cobble,.30,.00,.00,.00,.00,.00,No,Yes,34.664674,111.684624,,-111.6690462,34.67335827,,
466,Wet Beaver,10/21/2022 22:06,Available,NA,8.79,Riffle,,12,0.15,Pebble,.05,.00,.00,.00,.00,.00,No,No,34.664674,111.684624,,-111.6689864,34.67334331,,
468,Wet Beaver,10/21/2022 22:12,Available,NA,7.63,Riffle,,19,0.27,Pebble,.10,.00,.00,.00,.00,.00,No,Yes,34.673836,111.669647,,-111.6689781,34.67332486,,
469,Wet Beaver,10/21/2022 22:14,Available,NA,12.38,Riffle,,20,0.01,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673649,111.669544,,-111.6689115,34.67327226,,
470,Wet Beaver,10/21/2022 22:16,Available,NA,9.54,Riffle,,14,0.23,Pebble,.05,.00,.00,.00,.00,.00,No,No,34.673556,111.669508,,-111.668903,34.67325683,,
471,Wet Beaver,10/21/2022 22:18,Available,NA,9.17,Pool,,50,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673507,111.669449,,-111.6688256,34.6732036,,
472,Wet Beaver,10/21/2022 22:20,Available,NA,10.73,Pool,,78,0.07,Sand,.00,.00,.00,.00,.00,.00,No,Yes,34.673564,111.669327,,-111.6688228,34.67314233,,
473,Wet Beaver,10/21/2022 22:22,Available,NA,7.31,Pool,,60,0.09,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.663503,111.679232,,-111.6687152,34.67311023,,
474,Wet Beaver,10/21/2022 22:23,Available,NA,7.69,Pool,,57,0.14,Cobble,.00,.00,.00,.00,.10,.00,No,Yes,34.673470,111.669216,,-111.6686332,34.67308526,,"Changed to available, no tag number"
475,Wet Beaver,10/21/2022 22:27,Available,NA,7.62,Pool,,22,0.08,Cobble,.15,.00,.00,.00,.00,.00,No,No,34.673407,111.669258,,-111.6685496,34.67304821,,
476,Wet Beaver,10/21/2022 22:29,Available,NA,6.77,Run,,94,0.00,Boulder,.40,.00,.00,.00,.00,.00,No,Yes,34.673426,111.669156,,-111.6684635,34.67301811,,
477,Wet Beaver,10/21/2022 22:32,Available,NA,6.77,Run,,52,0.10,Cobble,.20,.00,.00,.00,.00,.00,No,No,34.663325,111.679074,,-111.6684708,34.67299283,"Visually confirmed with 30 others,... YAYY",
478,Wet Beaver,10/21/2022 22:36,Available,NA,7.86,Pool,,64,0.08,Cobble,.25,.00,.00,.00,.00,.00,No,No,34.673246,111.669000,,-111.6684405,34.67296786,,
480,Wet Beaver,10/21/2022 22:40,Available,NA,6.47,Run,,56,0.05,Boulder,.10,.00,.00,.00,.00,.00,No,No,34.673256,111.668897,,-111.6682704,34.67294612,,
481,Wet Beaver,10/21/2022 22:47,Available,NA,5.28,Riffle,,20,0.08,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673305,111.668836,,-111.6683011,34.67290708,,
482,Wet Beaver,10/21/2022 22:49,Available,NA,6.28,Riffle,,23,0.32,Boulder,.60,.20,.00,.00,.00,.00,No,No,34.673164,111.668800,,-111.6682674,34.67286204,,
484,Wet Beaver,10/21/2022 22:55,Available,NA,7.45,Riffle,,23,0.07,Cobble,.35,.00,.00,.00,.00,.00,No,No,34.673163,111.668674,,-111.6681516,34.67278838,,
485,Wet Beaver,10/21/2022 22:57,Available,NA,7.21,Riffle,,13,0.00,Boulder,.05,.00,.00,.00,.00,.00,No,No,34.673115,111.668650,,-111.668165,34.67278094,,
486,Wet Beaver,10/21/2022 22:59,Available,NA,8.49,Run,,34,0.20,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673095,111.668563,,-111.6680353,34.67263186,,
487,Wet Beaver,10/21/2022 23:01,Available,NA,7.58,Pool,,64,0.05,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673007,111.668477,,-111.6678862,34.67258026,,
489,Wet Beaver,10/21/2022 23:06,Available,NA,9.05,Pool,,51,0.00,Silt,.00,.00,.00,.00,.00,.00,No,No,34.672938,111.668417,,-111.667748,34.67252764,,
490,Wet Beaver,10/21/2022 23:10,Available,NA,8.34,Pool,,42,0.01,Silt,.00,.00,.00,.00,.00,.00,No,No,34.672883,111.668314,,-111.6676234,34.672456,,
492,Wet Beaver,10/21/2022 23:18,Available,NA,7.85,Run,,43,0.07,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672885,111.668215,,-111.6674154,34.67247468,,
494,Wet Beaver,10/21/2022 23:26,Available,NA,5.26,Run,,64,0.13,Boulder,.20,.00,.00,.00,.00,.00,No,Yes,34.662739,111.678159,,-111.6672846,34.67243855,,
495,Wet Beaver,10/21/2022 23:29,Available,NA,8.25,Riffle,,14,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.672694,111.667900,,-111.6672482,34.6724525,Very strong signal might be bounced,
496,Wet Beaver,10/21/2022 23:32,Available,NA,10.58,Pool,,22,0.00,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.672600,111.667877,,-111.6670994,34.67249964,,
497,Wet Beaver,10/21/2022 23:35,Available,NA,10.97,Pool,,98,0.00,Silt,.00,.00,.00,.00,.05,.00,No,Yes,34.672564,111.667780,,-111.6669408,34.67257252,,Changed from 200 to >150
498,Wet Beaver,10/21/2022 23:38,Available,NA,6.41,Run,,48,0.22,Bedrock,.30,.00,.00,.00,.00,.00,No,Yes,34.672529,111.667621,,-111.6668194,34.67264188,,
499,Wet Beaver,10/21/2022 23:40,Available,NA,4.58,Riffle,,28,0.28,Boulder,.60,.00,.00,.00,.00,.00,No,Yes,34.672209,111.667473,,-111.6666879,34.67279077,,
500,Wet Beaver,10/21/2022 23:43,Available,NA,15.17,Riffle,,16,1.02,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672318,111.667285,,-111.66657,34.67289272,,
502,Wet Beaver,10/21/2022 23:47,Available,NA,8.888,Pool,,56,0.05,Cobble,.05,.00,.00,.00,.00,.00,No,No,34.672411,111.667100,,-111.666441,34.67295451,,
503,Wet Beaver,10/21/2022 23:50,Available,NA,9.005,Pool,,>150,0.00,Pebble,.05,.00,.00,.00,.00,.00,No,No,34.672481,111.666954,,-111.6663382,34.67305503,,
504,Wet Beaver,10/21/2022 23:52,Available,NA,6.33,Riffle,,12,0.08,Boulder,.15,.05,.00,.00,.00,.00,No,No,34.672536,111.666821,,-111.6661577,34.67311528,,
505,Wet Beaver,10/21/2022 23:55,Available,NA,5.30,Riffle,,27,0.61,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672752,111.666674,,-111.6660361,34.67318198,,
506,Wet Beaver,10/21/2022 23:56,Available,NA,7.21,Riffle,,30,0.31,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.672851,111.666601,,-111.6661001,34.67320819,,
507,Wet Beaver,10/21/2022 23:59,Available,NA,3.42,Riffle,,10,0.14,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.672916,111.666452,,-111.6662677,34.67310133,,
508,Wet Beaver,10/21/2022 5:01,Available,NA,6.00,Pool,,63,0.01,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.673051,111.666293,,-111.6662791,34.67309616,,
509,Wet Beaver,10/21/2022 5:06,Available,NA,5.81,Pool,,70,0.00,Boulder,.30,.00,.00,.00,.00,.00,No,No,34.673150,111.666143,,-111.6663534,34.67311045,,
510,Wet Beaver,10/21/2022 5:09,Available,NA,3.49,Riffle,,34,0.01,Cobble,.10,.00,.00,.00,.00,.00,No,No,34.673324,111.666062,,-111.6664375,34.67306622,,
511,Wet Beaver,10/21/2022 5:13,Available,NA,3.69,Riffle,,32,0.00,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673259,111.666124,,-111.6665448,34.67301183,,
512,Wet Beaver,10/21/2022 5:15,Available,NA,4.45,Pool,,57,0.16,Bedrock,.45,.00,.00,.00,.00,.00,No,No,34.673101,111.666316,,-111.6665519,34.6730216,,
515,Wet Beaver,10/21/2022 5:21,Available,NA,4.99,Pool,,26,0.16,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673027,111.666439,,-111.6666277,34.67297975,,
518,Wet Beaver,10/21/2022 5:26,Available,NA,9.79,Pool,,59,0.05,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673036,111.666627,,-111.6666319,34.67298907,,
520,Wet Beaver,10/21/2022 5:29,Available,NA,6.61,Pool,,46,0.00,Bedrock,.05,.00,.00,.00,.00,.00,No,No,34.672959,111.666810,,-111.6668205,34.67289836,,
